[['tropical fruit'], 1032, '->', ['citrus fruit'], 814, 0.18992248062015504]
[['yogurt', 'whole milk'], 551, '->', ['rolls/buns'], 1809, 0.2776769509981851]
[['whole milk', 'soda'], 394, '->', ['yogurt'], 1372, 0.2614213197969543]
[['yogurt', 'soda'], 269, '->', ['whole milk'], 2513, 0.3828996282527881]
[['yogurt', 'whole milk'], 551, '->', ['soda'], 1715, 0.1869328493647913]
[['whole milk', 'root vegetables'], 481, '->', ['yogurt'], 1372, 0.2972972972972973]
[['root vegetables'], 1072, '->', ['yogurt', 'whole milk'], 551, 0.1333955223880597]
[['yogurt', 'root vegetables'], 254, '->', ['whole milk'], 2513, 0.562992125984252]
[['root vegetables'], 1072, '->', ['yogurt', 'whole milk'], 551, 0.1333955223880597]
[['yogurt', 'whole milk'], 551, '->', ['root vegetables'], 1072, 0.2595281306715064]
[['whole milk', 'whipped/sour cream'], 317, '->', ['yogurt'], 1372, 0.33753943217665616]
[['whipped/sour cream'], 705, '->', ['yogurt', 'whole milk'], 551, 0.15177304964539007]
[['yogurt', 'whipped/sour cream'], 204, '->', ['whole milk'], 2513, 0.5245098039215687]
[['whipped/sour cream'], 705, '->', ['yogurt', 'whole milk'], 551, 0.15177304964539007]
[['yogurt', 'whole milk'], 551, '->', ['whipped/sour cream'], 705, 0.19419237749546278]
[['other vegetables', 'rolls/buns'], 419, '->', ['yogurt'], 1372, 0.26968973747016706]
[['yogurt', 'rolls/buns'], 338, '->', ['other vegetables'], 1903, 0.3343195266272189]
[['yogurt', 'other vegetables'], 427, '->', ['rolls/buns'], 1809, 0.2646370023419204]
[['other vegetables', 'root vegetables'], 466, '->', ['yogurt'], 1372, 0.27253218884120173]
[['root vegetables'], 1072, '->', ['yogurt', 'other vegetables'], 427, 0.11847014925373134]
[['yogurt', 'root vegetables'], 254, '->', ['other vegetables'], 1903, 0.5]
[['root vegetables'], 1072, '->', ['yogurt', 'other vegetables'], 427, 0.11847014925373134]
[['yogurt', 'other vegetables'], 427, '->', ['root vegetables'], 1072, 0.297423887587822]
[['pip fruit', 'other vegetables'], 257, '->', ['whole milk'], 2513, 0.5175097276264592]
[['whole milk', 'other vegetables'], 736, '->', ['pip fruit'], 744, 0.18070652173913043]
[['whole milk', 'pip fruit'], 296, '->', ['other vegetables'], 1903, 0.44932432432432434]
[['pip fruit'], 744, '->', ['whole milk', 'other vegetables'], 736, 0.17876344086021506]
[['other vegetables', 'butter'], 197, '->', ['whole milk'], 2513, 0.5736040609137056]
[['butter'], 545, '->', ['whole milk', 'other vegetables'], 736, 0.20733944954128442]
[['whole milk', 'butter'], 271, '->', ['other vegetables'], 1903, 0.41697416974169743]
[['butter'], 545, '->', ['whole milk', 'other vegetables'], 736, 0.20733944954128442]
[['whole milk', 'other vegetables'], 736, '->', ['butter'], 545, 0.15353260869565216]
[['other vegetables', 'rolls/buns'], 419, '->', ['whole milk'], 2513, 0.4200477326968974]
[['whole milk', 'rolls/buns'], 557, '->', ['other vegetables'], 1903, 0.31597845601436264]
[['whole milk', 'other vegetables'], 736, '->', ['rolls/buns'], 1809, 0.2391304347826087]
[['other vegetables', 'bottled water'], 244, '->', ['whole milk'], 2513, 0.4344262295081967]
[['whole milk', 'bottled water'], 338, '->', ['other vegetables'], 1903, 0.3136094674556213]
[['whole milk', 'other vegetables'], 736, '->', ['bottled water'], 1087, 0.14402173913043478]
[['other vegetables', 'soda'], 322, '->', ['whole milk'], 2513, 0.4254658385093168]
[['whole milk', 'soda'], 394, '->', ['other vegetables'], 1903, 0.3477157360406091]
[['whole milk', 'other vegetables'], 736, '->', ['soda'], 1715, 0.18614130434782608]
[['other vegetables', 'fruit/vegetable juice'], 207, '->', ['whole milk'], 2513, 0.4975845410628019]
[['fruit/vegetable juice'], 711, '->', ['whole milk', 'other vegetables'], 736, 0.14486638537271448]
[['whole milk', 'fruit/vegetable juice'], 262, '->', ['other vegetables'], 1903, 0.3931297709923664]
[['fruit/vegetable juice'], 711, '->', ['whole milk', 'other vegetables'], 736, 0.14486638537271448]
[['whole milk', 'other vegetables'], 736, '->', ['fruit/vegetable juice'], 711, 0.13994565217391305]
[['other vegetables', 'pastry'], 222, '->', ['whole milk'], 2513, 0.46846846846846846]
[['pastry'], 875, '->', ['whole milk', 'other vegetables'], 736, 0.11885714285714286]
[['whole milk', 'pastry'], 327, '->', ['other vegetables'], 1903, 0.3180428134556575]
[['pastry'], 875, '->', ['whole milk', 'other vegetables'], 736, 0.11885714285714286]
[['whole milk', 'other vegetables'], 736, '->', ['pastry'], 875, 0.14130434782608695]
[['other vegetables', 'root vegetables'], 466, '->', ['whole milk'], 2513, 0.4892703862660944]
[['root vegetables'], 1072, '->', ['whole milk', 'other vegetables'], 736, 0.2126865671641791]
[['whole milk', 'root vegetables'], 481, '->', ['other vegetables'], 1903, 0.47401247401247404]
[['root vegetables'], 1072, '->', ['whole milk', 'other vegetables'], 736, 0.2126865671641791]
[['whole milk', 'other vegetables'], 736, '->', ['root vegetables'], 1072, 0.30978260869565216]
[['other vegetables'], 1903, '->', ['whole milk', 'root vegetables'], 481, 0.11981082501313715]
[['other vegetables', 'whipped/sour cream'], 284, '->', ['whole milk'], 2513, 0.5070422535211268]
[['whipped/sour cream'], 705, '->', ['whole milk', 'other vegetables'], 736, 0.20425531914893616]
[['whole milk', 'whipped/sour cream'], 317, '->', ['other vegetables'], 1903, 0.45425867507886436]
[['whipped/sour cream'], 705, '->', ['whole milk', 'other vegetables'], 736, 0.20425531914893616]
[['whole milk', 'other vegetables'], 736, '->', ['whipped/sour cream'], 705, 0.1956521739130435]
[['other vegetables', 'domestic eggs'], 219, '->', ['whole milk'], 2513, 0.5525114155251142]
[['domestic eggs'], 624, '->', ['whole milk', 'other vegetables'], 736, 0.19391025641025642]
[['whole milk', 'domestic eggs'], 295, '->', ['other vegetables'], 1903, 0.4101694915254237]
[['domestic eggs'], 624, '->', ['whole milk', 'other vegetables'], 736, 0.19391025641025642]
[['whole milk', 'other vegetables'], 736, '->', ['domestic eggs'], 624, 0.1644021739130435]
[['rolls/buns', 'root vegetables'], 239, '->', ['whole milk'], 2513, 0.5230125523012552]
[['root vegetables'], 1072, '->', ['whole milk', 'rolls/buns'], 557, 0.1166044776119403]
[['whole milk', 'root vegetables'], 481, '->', ['rolls/buns'], 1809, 0.2598752598752599]
[['root vegetables'], 1072, '->', ['whole milk', 'rolls/buns'], 557, 0.1166044776119403]
[['whole milk', 'rolls/buns'], 557, '->', ['root vegetables'], 1072, 0.2244165170556553]
[['rolls/buns', 'root vegetables'], 239, '->', ['other vegetables'], 1903, 0.502092050209205]
[['root vegetables'], 1072, '->', ['other vegetables', 'rolls/buns'], 419, 0.11194029850746269]
[['other vegetables', 'root vegetables'], 466, '->', ['rolls/buns'], 1809, 0.2575107296137339]
[['root vegetables'], 1072, '->', ['other vegetables', 'rolls/buns'], 419, 0.11194029850746269]
[['other vegetables', 'rolls/buns'], 419, '->', ['root vegetables'], 1072, 0.2863961813842482]
