[['margarine'], 576, '->', ['citrus fruit'], 814, 0.13541666666666666]
[['chocolate'], 488, '->', ['butter'], 545, 0.125]
[['butter'], 545, '->', ['chocolate'], 488, 0.11192660550458716]
[['curd'], 524, '->', ['butter'], 545, 0.12786259541984732]
[['butter'], 545, '->', ['curd'], 524, 0.12293577981651377]
[['butter'], 545, '->', ['soda'], 1715, 0.1596330275229358]
[['fruit/vegetable juice'], 711, '->', ['butter'], 545, 0.1111111111111111]
[['butter'], 545, '->', ['fruit/vegetable juice'], 711, 0.14495412844036698]
[['butter'], 545, '->', ['pastry'], 875, 0.13761467889908258]
[['root vegetables'], 1072, '->', ['butter'], 545, 0.11847014925373134]
[['butter'], 545, '->', ['root vegetables'], 1072, 0.23302752293577983]
[['butter'], 545, '->', ['sausage'], 924, 0.1559633027522936]
[['whipped/sour cream'], 705, '->', ['butter'], 545, 0.14184397163120568]
[['butter'], 545, '->', ['whipped/sour cream'], 705, 0.1834862385321101]
[['domestic eggs'], 624, '->', ['butter'], 545, 0.15224358974358973]
[['butter'], 545, '->', ['domestic eggs'], 624, 0.1743119266055046]
[['UHT-milk'], 329, '->', ['rolls/buns'], 1809, 0.19148936170212766]
[['bottled beer'], 792, '->', ['rolls/buns'], 1809, 0.1691919191919192]
[['white bread'], 414, '->', ['rolls/buns'], 1809, 0.15458937198067632]
[['bottled water'], 1087, '->', ['rolls/buns'], 1809, 0.21895124195032198]
[['rolls/buns'], 1809, '->', ['bottled water'], 1087, 0.13156440022111665]
[['chocolate'], 488, '->', ['rolls/buns'], 1809, 0.23770491803278687]
[['curd'], 524, '->', ['rolls/buns'], 1809, 0.18893129770992367]
[['beef'], 516, '->', ['rolls/buns'], 1809, 0.2596899224806202]
[['frankfurter'], 580, '->', ['rolls/buns'], 1809, 0.3258620689655172]
[['rolls/buns'], 1809, '->', ['frankfurter'], 580, 0.1044776119402985]
[['soda'], 1715, '->', ['rolls/buns'], 1809, 0.21982507288629738]
[['rolls/buns'], 1809, '->', ['soda'], 1715, 0.2084024322830293]
[['chicken'], 422, '->', ['rolls/buns'], 1809, 0.22511848341232227]
[['sugar'], 333, '->', ['rolls/buns'], 1809, 0.2072072072072072]
[['fruit/vegetable juice'], 711, '->', ['rolls/buns'], 1809, 0.2011251758087201]
[['newspapers'], 785, '->', ['rolls/buns'], 1809, 0.24713375796178344]
[['rolls/buns'], 1809, '->', ['newspapers'], 785, 0.10724156992813709]
[['butter milk'], 275, '->', ['rolls/buns'], 1809, 0.2727272727272727]
[['pastry'], 875, '->', ['rolls/buns'], 1809, 0.23542857142857143]
[['rolls/buns'], 1809, '->', ['pastry'], 875, 0.11387506909894969]
[['root vegetables'], 1072, '->', ['rolls/buns'], 1809, 0.22294776119402984]
[['rolls/buns'], 1809, '->', ['root vegetables'], 1072, 0.13211719181868437]
[['waffles'], 378, '->', ['rolls/buns'], 1809, 0.23809523809523808]
[['candy'], 294, '->', ['rolls/buns'], 1809, 0.23809523809523808]
[['canned beer'], 764, '->', ['rolls/buns'], 1809, 0.14528795811518325]
[['sausage'], 924, '->', ['rolls/buns'], 1809, 0.32575757575757575]
[['rolls/buns'], 1809, '->', ['sausage'], 924, 0.1663902708678828]
[['brown bread'], 638, '->', ['rolls/buns'], 1809, 0.19435736677115986]
[['shopping bags'], 969, '->', ['rolls/buns'], 1809, 0.19814241486068113]
[['rolls/buns'], 1809, '->', ['shopping bags'], 969, 0.10613598673300166]
[['hamburger meat'], 327, '->', ['rolls/buns'], 1809, 0.2599388379204893]
[['napkins'], 515, '->', ['rolls/buns'], 1809, 0.22330097087378642]
[['pork'], 567, '->', ['rolls/buns'], 1809, 0.19576719576719576]
[['berries'], 327, '->', ['rolls/buns'], 1809, 0.19877675840978593]
[['whipped/sour cream'], 705, '->', ['rolls/buns'], 1809, 0.20425531914893616]
[['dessert'], 365, '->', ['rolls/buns'], 1809, 0.18356164383561643]
[['domestic eggs'], 624, '->', ['rolls/buns'], 1809, 0.2467948717948718]
[['ham'], 256, '->', ['rolls/buns'], 1809, 0.265625]
[['frozen vegetables'], 473, '->', ['rolls/buns'], 1809, 0.21141649048625794]
[['onions'], 305, '->', ['rolls/buns'], 1809, 0.21967213114754097]
[['sliced cheese'], 241, '->', ['rolls/buns'], 1809, 0.3112033195020747]
[['meat'], 254, '->', ['rolls/buns'], 1809, 0.2677165354330709]
[['UHT-milk'], 329, '->', ['bottled water'], 1087, 0.2188449848024316]
[['UHT-milk'], 329, '->', ['soda'], 1715, 0.22796352583586627]
[['bottled water'], 1087, '->', ['bottled beer'], 792, 0.14259429622815087]
[['bottled beer'], 792, '->', ['bottled water'], 1087, 0.19570707070707072]
[['bottled beer'], 792, '->', ['soda'], 1715, 0.21085858585858586]
[['bottled beer'], 792, '->', ['root vegetables'], 1072, 0.11994949494949494]
[['white bread'], 414, '->', ['soda'], 1715, 0.24396135265700483]
[['fruit/vegetable juice'], 711, '->', ['white bread'], 414, 0.10267229254571027]
[['white bread'], 414, '->', ['fruit/vegetable juice'], 711, 0.17632850241545894]
[['white bread'], 414, '->', ['root vegetables'], 1072, 0.18840579710144928]
[['white bread'], 414, '->', ['sausage'], 924, 0.17149758454106281]
[['white bread'], 414, '->', ['shopping bags'], 969, 0.17632850241545894]
[['beef'], 516, '->', ['bottled water'], 1087, 0.1182170542635659]
[['frankfurter'], 580, '->', ['bottled water'], 1087, 0.12413793103448276]
[['soda'], 1715, '->', ['bottled water'], 1087, 0.1661807580174927]
[['bottled water'], 1087, '->', ['soda'], 1715, 0.2621895124195032]
[['fruit/vegetable juice'], 711, '->', ['bottled water'], 1087, 0.19690576652601968]
[['bottled water'], 1087, '->', ['fruit/vegetable juice'], 711, 0.12879484820607176]
[['newspapers'], 785, '->', ['bottled water'], 1087, 0.14140127388535031]
[['bottled water'], 1087, '->', ['newspapers'], 785, 0.10211591536338546]
[['pastry'], 875, '->', ['bottled water'], 1087, 0.10057142857142858]
[['root vegetables'], 1072, '->', ['bottled water'], 1087, 0.14365671641791045]
[['bottled water'], 1087, '->', ['root vegetables'], 1072, 0.14167433302667892]
[['canned beer'], 764, '->', ['bottled water'], 1087, 0.10340314136125654]
[['sausage'], 924, '->', ['bottled water'], 1087, 0.1277056277056277]
[['bottled water'], 1087, '->', ['sausage'], 924, 0.10855565777368906]
[['brown bread'], 638, '->', ['bottled water'], 1087, 0.12695924764890282]
[['shopping bags'], 969, '->', ['bottled water'], 1087, 0.11145510835913312]
[['napkins'], 515, '->', ['bottled water'], 1087, 0.1650485436893204]
[['pork'], 567, '->', ['bottled water'], 1087, 0.12874779541446207]
[['whipped/sour cream'], 705, '->', ['bottled water'], 1087, 0.12198581560283688]
[['domestic eggs'], 624, '->', ['bottled water'], 1087, 0.14423076923076922]
[['frozen vegetables'], 473, '->', ['bottled water'], 1087, 0.12896405919661733]
[['chocolate'], 488, '->', ['soda'], 1715, 0.2725409836065574]
[['chocolate'], 488, '->', ['fruit/vegetable juice'], 711, 0.13729508196721313]
[['chocolate'], 488, '->', ['pastry'], 875, 0.16188524590163936]
[['chocolate'], 488, '->', ['root vegetables'], 1072, 0.1290983606557377]
[['chocolate'], 488, '->', ['sausage'], 924, 0.13319672131147542]
[['chocolate'], 488, '->', ['shopping bags'], 969, 0.16393442622950818]
[['curd'], 524, '->', ['soda'], 1715, 0.15267175572519084]
[['curd'], 524, '->', ['pastry'], 875, 0.14122137404580154]
[['curd'], 524, '->', ['root vegetables'], 1072, 0.20419847328244276]
[['curd'], 524, '->', ['sausage'], 924, 0.1431297709923664]
[['whipped/sour cream'], 705, '->', ['curd'], 524, 0.14609929078014183]
[['curd'], 524, '->', ['whipped/sour cream'], 705, 0.1965648854961832]
[['domestic eggs'], 624, '->', ['curd'], 524, 0.10256410256410256]
[['curd'], 524, '->', ['domestic eggs'], 624, 0.12213740458015267]
[['beef'], 516, '->', ['soda'], 1715, 0.15503875968992248]
[['beef'], 516, '->', ['newspapers'], 785, 0.12209302325581395]
[['beef'], 516, '->', ['pastry'], 875, 0.12015503875968993]
[['root vegetables'], 1072, '->', ['beef'], 516, 0.15951492537313433]
[['beef'], 516, '->', ['root vegetables'], 1072, 0.3313953488372093]
[['pork'], 567, '->', ['beef'], 516, 0.13227513227513227]
[['beef'], 516, '->', ['pork'], 567, 0.14534883720930233]
[['beef'], 516, '->', ['whipped/sour cream'], 705, 0.12790697674418605]
[['frankfurter'], 580, '->', ['soda'], 1715, 0.19137931034482758]
[['frankfurter'], 580, '->', ['pastry'], 875, 0.1413793103448276]
[['frankfurter'], 580, '->', ['root vegetables'], 1072, 0.1724137931034483]
[['sausage'], 924, '->', ['frankfurter'], 580, 0.10714285714285714]
[['frankfurter'], 580, '->', ['sausage'], 924, 0.1706896551724138]
[['brown bread'], 638, '->', ['frankfurter'], 580, 0.109717868338558]
[['frankfurter'], 580, '->', ['brown bread'], 638, 0.1206896551724138]
[['frankfurter'], 580, '->', ['shopping bags'], 969, 0.1396551724137931]
[['frankfurter'], 580, '->', ['whipped/sour cream'], 705, 0.10517241379310345]
[['domestic eggs'], 624, '->', ['frankfurter'], 580, 0.11057692307692307]
[['frankfurter'], 580, '->', ['domestic eggs'], 624, 0.11896551724137931]
[['chicken'], 422, '->', ['soda'], 1715, 0.1943127962085308]
[['sugar'], 333, '->', ['soda'], 1715, 0.21621621621621623]
[['fruit/vegetable juice'], 711, '->', ['soda'], 1715, 0.2545710267229255]
[['soda'], 1715, '->', ['fruit/vegetable juice'], 711, 0.1055393586005831]
[['newspapers'], 785, '->', ['soda'], 1715, 0.18343949044585986]
[['specialty bar'], 269, '->', ['soda'], 1715, 0.26394052044609667]
[['pastry'], 875, '->', ['soda'], 1715, 0.23657142857142857]
[['soda'], 1715, '->', ['pastry'], 875, 0.1206997084548105]
[['root vegetables'], 1072, '->', ['soda'], 1715, 0.1707089552238806]
[['soda'], 1715, '->', ['root vegetables'], 1072, 0.10670553935860058]
[['salty snack'], 372, '->', ['soda'], 1715, 0.24731182795698925]
[['waffles'], 378, '->', ['soda'], 1715, 0.24867724867724866]
[['candy'], 294, '->', ['soda'], 1715, 0.2891156462585034]
[['canned beer'], 764, '->', ['soda'], 1715, 0.17801047120418848]
[['sausage'], 924, '->', ['soda'], 1715, 0.25865800865800864]
[['soda'], 1715, '->', ['sausage'], 924, 0.13935860058309038]
[['brown bread'], 638, '->', ['soda'], 1715, 0.19435736677115986]
[['shopping bags'], 969, '->', ['soda'], 1715, 0.24974200206398348]
[['soda'], 1715, '->', ['shopping bags'], 969, 0.14110787172011663]
[['hygiene articles'], 324, '->', ['soda'], 1715, 0.21296296296296297]
[['napkins'], 515, '->', ['soda'], 1715, 0.229126213592233]
[['pork'], 567, '->', ['soda'], 1715, 0.20634920634920634]
[['berries'], 327, '->', ['soda'], 1715, 0.22018348623853212]
[['whipped/sour cream'], 705, '->', ['soda'], 1715, 0.16170212765957448]
[['dessert'], 365, '->', ['soda'], 1715, 0.26575342465753427]
[['domestic eggs'], 624, '->', ['soda'], 1715, 0.1955128205128205]
[['misc. beverages'], 279, '->', ['soda'], 1715, 0.25806451612903225]
[['frozen vegetables'], 473, '->', ['soda'], 1715, 0.17970401691331925]
[['specialty chocolate'], 299, '->', ['soda'], 1715, 0.20735785953177258]
[['frozen meals'], 279, '->', ['soda'], 1715, 0.21863799283154123]
[['chicken'], 422, '->', ['root vegetables'], 1072, 0.25355450236966826]
[['whipped/sour cream'], 705, '->', ['chicken'], 422, 0.10070921985815603]
[['chicken'], 422, '->', ['whipped/sour cream'], 705, 0.16824644549763032]
[['chicken'], 422, '->', ['domestic eggs'], 624, 0.14454976303317535]
[['frozen vegetables'], 473, '->', ['chicken'], 422, 0.13953488372093023]
[['chicken'], 422, '->', ['frozen vegetables'], 473, 0.15639810426540285]
[['sugar'], 333, '->', ['root vegetables'], 1072, 0.1891891891891892]
[['newspapers'], 785, '->', ['fruit/vegetable juice'], 711, 0.10318471337579618]
[['fruit/vegetable juice'], 711, '->', ['newspapers'], 785, 0.11392405063291139]
[['fruit/vegetable juice'], 711, '->', ['pastry'], 875, 0.11814345991561181]
[['root vegetables'], 1072, '->', ['fruit/vegetable juice'], 711, 0.11007462686567164]
[['fruit/vegetable juice'], 711, '->', ['root vegetables'], 1072, 0.1659634317862166]
[['sausage'], 924, '->', ['fruit/vegetable juice'], 711, 0.10714285714285714]
[['fruit/vegetable juice'], 711, '->', ['sausage'], 924, 0.13924050632911392]
[['brown bread'], 638, '->', ['fruit/vegetable juice'], 711, 0.12852664576802508]
[['fruit/vegetable juice'], 711, '->', ['brown bread'], 638, 0.11533052039381153]
[['shopping bags'], 969, '->', ['fruit/vegetable juice'], 711, 0.10835913312693499]
[['fruit/vegetable juice'], 711, '->', ['shopping bags'], 969, 0.14767932489451477]
[['napkins'], 515, '->', ['fruit/vegetable juice'], 711, 0.13203883495145632]
[['whipped/sour cream'], 705, '->', ['fruit/vegetable juice'], 711, 0.12624113475177304]
[['fruit/vegetable juice'], 711, '->', ['whipped/sour cream'], 705, 0.12517580872011252]
[['domestic eggs'], 624, '->', ['fruit/vegetable juice'], 711, 0.1266025641025641]
[['fruit/vegetable juice'], 711, '->', ['domestic eggs'], 624, 0.1111111111111111]
[['frozen vegetables'], 473, '->', ['fruit/vegetable juice'], 711, 0.16279069767441862]
[['fruit/vegetable juice'], 711, '->', ['frozen vegetables'], 473, 0.10829817158931083]
[['newspapers'], 785, '->', ['pastry'], 875, 0.10573248407643313]
[['root vegetables'], 1072, '->', ['newspapers'], 785, 0.10541044776119403]
[['newspapers'], 785, '->', ['root vegetables'], 1072, 0.14394904458598726]
[['newspapers'], 785, '->', ['sausage'], 924, 0.10063694267515924]
[['brown bread'], 638, '->', ['newspapers'], 785, 0.11755485893416928]
[['napkins'], 515, '->', ['newspapers'], 785, 0.11844660194174757]
[['pork'], 567, '->', ['newspapers'], 785, 0.1146384479717813]
[['whipped/sour cream'], 705, '->', ['newspapers'], 785, 0.10070921985815603]
[['domestic eggs'], 624, '->', ['newspapers'], 785, 0.10897435897435898]
[['root vegetables'], 1072, '->', ['pastry'], 875, 0.10074626865671642]
[['pastry'], 875, '->', ['root vegetables'], 1072, 0.12342857142857143]
[['waffles'], 378, '->', ['pastry'], 875, 0.18253968253968253]
[['sausage'], 924, '->', ['pastry'], 875, 0.1331168831168831]
[['pastry'], 875, '->', ['sausage'], 924, 0.14057142857142857]
[['brown bread'], 638, '->', ['pastry'], 875, 0.14890282131661442]
[['pastry'], 875, '->', ['brown bread'], 638, 0.10857142857142857]
[['shopping bags'], 969, '->', ['pastry'], 875, 0.12074303405572756]
[['pastry'], 875, '->', ['shopping bags'], 969, 0.1337142857142857]
[['napkins'], 515, '->', ['pastry'], 875, 0.13398058252427184]
[['pork'], 567, '->', ['pastry'], 875, 0.10934744268077601]
[['whipped/sour cream'], 705, '->', ['pastry'], 875, 0.1049645390070922]
[['domestic eggs'], 624, '->', ['pastry'], 875, 0.14262820512820512]
[['pastry'], 875, '->', ['domestic eggs'], 624, 0.10171428571428572]
[['waffles'], 378, '->', ['root vegetables'], 1072, 0.17195767195767195]
[['sausage'], 924, '->', ['root vegetables'], 1072, 0.1590909090909091]
[['root vegetables'], 1072, '->', ['sausage'], 924, 0.13712686567164178]
[['brown bread'], 638, '->', ['root vegetables'], 1072, 0.15673981191222572]
[['shopping bags'], 969, '->', ['root vegetables'], 1072, 0.13003095975232198]
[['root vegetables'], 1072, '->', ['shopping bags'], 969, 0.11753731343283583]
[['hamburger meat'], 327, '->', ['root vegetables'], 1072, 0.18654434250764526]
[['napkins'], 515, '->', ['root vegetables'], 1072, 0.19029126213592232]
[['pork'], 567, '->', ['root vegetables'], 1072, 0.23633156966490299]
[['root vegetables'], 1072, '->', ['pork'], 567, 0.125]
[['berries'], 327, '->', ['root vegetables'], 1072, 0.19877675840978593]
[['whipped/sour cream'], 705, '->', ['root vegetables'], 1072, 0.23829787234042554]
[['root vegetables'], 1072, '->', ['whipped/sour cream'], 705, 0.15671641791044777]
[['domestic eggs'], 624, '->', ['root vegetables'], 1072, 0.22596153846153846]
[['root vegetables'], 1072, '->', ['domestic eggs'], 624, 0.13152985074626866]
[['oil'], 276, '->', ['root vegetables'], 1072, 0.25]
[['frozen vegetables'], 473, '->', ['root vegetables'], 1072, 0.24101479915433405]
[['root vegetables'], 1072, '->', ['frozen vegetables'], 473, 0.10634328358208955]
[['onions'], 305, '->', ['root vegetables'], 1072, 0.30491803278688523]
[['herbs'], 160, '->', ['root vegetables'], 1072, 0.43125]
[['shopping bags'], 969, '->', ['canned beer'], 764, 0.11558307533539731]
[['canned beer'], 764, '->', ['shopping bags'], 969, 0.14659685863874344]
[['brown bread'], 638, '->', ['sausage'], 924, 0.164576802507837]
[['sausage'], 924, '->', ['brown bread'], 638, 0.11363636363636363]
[['shopping bags'], 969, '->', ['sausage'], 924, 0.15892672858617132]
[['sausage'], 924, '->', ['shopping bags'], 969, 0.16666666666666666]
[['napkins'], 515, '->', ['sausage'], 924, 0.12815533980582525]
[['pork'], 567, '->', ['sausage'], 924, 0.1128747795414462]
[['whipped/sour cream'], 705, '->', ['sausage'], 924, 0.12624113475177304]
[['domestic eggs'], 624, '->', ['sausage'], 924, 0.15064102564102563]
[['sausage'], 924, '->', ['domestic eggs'], 624, 0.10173160173160173]
[['sliced cheese'], 241, '->', ['sausage'], 924, 0.2863070539419087]
[['brown bread'], 638, '->', ['shopping bags'], 969, 0.1426332288401254]
[['domestic eggs'], 624, '->', ['brown bread'], 638, 0.10737179487179487]
[['brown bread'], 638, '->', ['domestic eggs'], 624, 0.10501567398119123]
[['napkins'], 515, '->', ['shopping bags'], 969, 0.1378640776699029]
[['pork'], 567, '->', ['shopping bags'], 969, 0.1111111111111111]
[['whipped/sour cream'], 705, '->', ['shopping bags'], 969, 0.11063829787234042]
[['dessert'], 365, '->', ['shopping bags'], 969, 0.16712328767123288]
[['domestic eggs'], 624, '->', ['shopping bags'], 969, 0.14262820512820512]
[['whipped/sour cream'], 705, '->', ['napkins'], 515, 0.10070921985815603]
[['napkins'], 515, '->', ['whipped/sour cream'], 705, 0.1378640776699029]
[['whipped/sour cream'], 705, '->', ['pork'], 567, 0.1148936170212766]
[['pork'], 567, '->', ['whipped/sour cream'], 705, 0.14285714285714285]
[['frozen vegetables'], 473, '->', ['pork'], 567, 0.1331923890063425]
[['pork'], 567, '->', ['frozen vegetables'], 473, 0.1111111111111111]
[['whipped/sour cream'], 705, '->', ['berries'], 327, 0.12624113475177304]
[['berries'], 327, '->', ['whipped/sour cream'], 705, 0.27217125382262997]
[['domestic eggs'], 624, '->', ['whipped/sour cream'], 705, 0.15705128205128205]
[['whipped/sour cream'], 705, '->', ['domestic eggs'], 624, 0.13900709219858157]
[['frozen vegetables'], 473, '->', ['whipped/sour cream'], 705, 0.1649048625792812]
[['whipped/sour cream'], 705, '->', ['frozen vegetables'], 473, 0.11063829787234042]
[['tropical fruit', 'yogurt'], 288, '->', ['citrus fruit'], 814, 0.2152777777777778]
[['citrus fruit', 'yogurt'], 213, '->', ['tropical fruit'], 1032, 0.29107981220657275]
[['citrus fruit', 'tropical fruit'], 196, '->', ['yogurt'], 1372, 0.3163265306122449]
[['tropical fruit', 'whole milk'], 416, '->', ['citrus fruit'], 814, 0.21394230769230768]
[['citrus fruit', 'whole milk'], 300, '->', ['tropical fruit'], 1032, 0.2966666666666667]
[['citrus fruit', 'tropical fruit'], 196, '->', ['whole milk'], 2513, 0.45408163265306123]
[['tropical fruit', 'other vegetables'], 353, '->', ['citrus fruit'], 814, 0.2521246458923513]
[['citrus fruit', 'other vegetables'], 284, '->', ['tropical fruit'], 1032, 0.31338028169014087]
[['citrus fruit', 'tropical fruit'], 196, '->', ['other vegetables'], 1903, 0.45408163265306123]
[['yogurt', 'whole milk'], 551, '->', ['citrus fruit'], 814, 0.18330308529945555]
[['citrus fruit', 'whole milk'], 300, '->', ['yogurt'], 1372, 0.33666666666666667]
[['citrus fruit', 'yogurt'], 213, '->', ['whole milk'], 2513, 0.47417840375586856]
[['yogurt', 'other vegetables'], 427, '->', ['citrus fruit'], 814, 0.1756440281030445]
[['citrus fruit', 'other vegetables'], 284, '->', ['yogurt'], 1372, 0.2640845070422535]
[['citrus fruit', 'yogurt'], 213, '->', ['other vegetables'], 1903, 0.352112676056338]
[['whole milk', 'other vegetables'], 736, '->', ['citrus fruit'], 814, 0.17391304347826086]
[['citrus fruit', 'other vegetables'], 284, '->', ['whole milk'], 2513, 0.4507042253521127]
[['citrus fruit', 'whole milk'], 300, '->', ['other vegetables'], 1903, 0.4266666666666667]
[['whole milk', 'rolls/buns'], 557, '->', ['citrus fruit'], 814, 0.12746858168761221]
[['citrus fruit', 'rolls/buns'], 165, '->', ['whole milk'], 2513, 0.4303030303030303]
[['citrus fruit', 'whole milk'], 300, '->', ['rolls/buns'], 1809, 0.23666666666666666]
[['whole milk', 'root vegetables'], 481, '->', ['citrus fruit'], 814, 0.18711018711018712]
[['citrus fruit', 'root vegetables'], 174, '->', ['whole milk'], 2513, 0.5172413793103449]
[['citrus fruit', 'whole milk'], 300, '->', ['root vegetables'], 1072, 0.3]
[['whole milk', 'whipped/sour cream'], 317, '->', ['citrus fruit'], 814, 0.19558359621451105]
[['citrus fruit', 'whipped/sour cream'], 107, '->', ['whole milk'], 2513, 0.5794392523364486]
[['citrus fruit', 'whole milk'], 300, '->', ['whipped/sour cream'], 705, 0.20666666666666667]
[['other vegetables', 'root vegetables'], 466, '->', ['citrus fruit'], 814, 0.21888412017167383]
[['citrus fruit', 'root vegetables'], 174, '->', ['other vegetables'], 1903, 0.5862068965517241]
[['citrus fruit', 'other vegetables'], 284, '->', ['root vegetables'], 1072, 0.3591549295774648]
[['yogurt', 'whole milk'], 551, '->', ['margarine'], 576, 0.12522686025408347]
[['margarine', 'whole milk'], 238, '->', ['yogurt'], 1372, 0.28991596638655465]
[['margarine', 'yogurt'], 140, '->', ['whole milk'], 2513, 0.4928571428571429]
[['whole milk', 'other vegetables'], 736, '->', ['margarine'], 576, 0.12364130434782608]
[['margarine', 'other vegetables'], 194, '->', ['whole milk'], 2513, 0.4690721649484536]
[['margarine', 'whole milk'], 238, '->', ['other vegetables'], 1903, 0.38235294117647056]
[['whole milk', 'rolls/buns'], 557, '->', ['margarine'], 576, 0.1400359066427289]
[['margarine', 'rolls/buns'], 145, '->', ['whole milk'], 2513, 0.5379310344827586]
[['margarine', 'whole milk'], 238, '->', ['rolls/buns'], 1809, 0.3277310924369748]
[['yogurt', 'whole milk'], 551, '->', ['tropical fruit'], 1032, 0.27041742286751363]
[['tropical fruit', 'whole milk'], 416, '->', ['yogurt'], 1372, 0.3581730769230769]
[['tropical fruit', 'yogurt'], 288, '->', ['whole milk'], 2513, 0.5173611111111112]
[['yogurt'], 1372, '->', ['tropical fruit', 'whole milk'], 416, 0.10860058309037901]
[['yogurt', 'pip fruit'], 177, '->', ['tropical fruit'], 1032, 0.3559322033898305]
[['tropical fruit', 'pip fruit'], 201, '->', ['yogurt'], 1372, 0.31343283582089554]
[['tropical fruit', 'yogurt'], 288, '->', ['pip fruit'], 744, 0.21875]
[['yogurt', 'other vegetables'], 427, '->', ['tropical fruit'], 1032, 0.28337236533957844]
[['tropical fruit', 'other vegetables'], 353, '->', ['yogurt'], 1372, 0.34277620396600567]
[['tropical fruit', 'yogurt'], 288, '->', ['other vegetables'], 1903, 0.4201388888888889]
[['yogurt', 'rolls/buns'], 338, '->', ['tropical fruit'], 1032, 0.25443786982248523]
[['tropical fruit', 'rolls/buns'], 242, '->', ['yogurt'], 1372, 0.35537190082644626]
[['tropical fruit', 'yogurt'], 288, '->', ['rolls/buns'], 1809, 0.2986111111111111]
[['yogurt', 'bottled water'], 226, '->', ['tropical fruit'], 1032, 0.30973451327433627]
[['tropical fruit', 'bottled water'], 182, '->', ['yogurt'], 1372, 0.38461538461538464]
[['tropical fruit', 'yogurt'], 288, '->', ['bottled water'], 1087, 0.24305555555555555]
[['yogurt', 'soda'], 269, '->', ['tropical fruit'], 1032, 0.241635687732342]
[['tropical fruit', 'soda'], 205, '->', ['yogurt'], 1372, 0.3170731707317073]
[['tropical fruit', 'yogurt'], 288, '->', ['soda'], 1715, 0.22569444444444445]
[['yogurt', 'root vegetables'], 254, '->', ['tropical fruit'], 1032, 0.31496062992125984]
[['tropical fruit', 'root vegetables'], 207, '->', ['yogurt'], 1372, 0.3864734299516908]
[['tropical fruit', 'yogurt'], 288, '->', ['root vegetables'], 1072, 0.2777777777777778]
[['yogurt', 'whipped/sour cream'], 204, '->', ['tropical fruit'], 1032, 0.29901960784313725]
[['tropical fruit', 'whipped/sour cream'], 136, '->', ['yogurt'], 1372, 0.4485294117647059]
[['tropical fruit', 'yogurt'], 288, '->', ['whipped/sour cream'], 705, 0.21180555555555555]
[['whole milk', 'pip fruit'], 296, '->', ['tropical fruit'], 1032, 0.28040540540540543]
[['pip fruit'], 744, '->', ['tropical fruit', 'whole milk'], 416, 0.11155913978494623]
[['tropical fruit', 'pip fruit'], 201, '->', ['whole milk'], 2513, 0.4129353233830846]
[['pip fruit'], 744, '->', ['tropical fruit', 'whole milk'], 416, 0.11155913978494623]
[['tropical fruit', 'whole milk'], 416, '->', ['pip fruit'], 744, 0.19951923076923078]
[['whole milk', 'other vegetables'], 736, '->', ['tropical fruit'], 1032, 0.22826086956521738]
[['tropical fruit', 'other vegetables'], 353, '->', ['whole milk'], 2513, 0.47592067988668557]
[['tropical fruit', 'whole milk'], 416, '->', ['other vegetables'], 1903, 0.40384615384615385]
[['whole milk', 'butter'], 271, '->', ['tropical fruit'], 1032, 0.22509225092250923]
[['butter'], 545, '->', ['tropical fruit', 'whole milk'], 416, 0.11192660550458716]
[['tropical fruit', 'butter'], 98, '->', ['whole milk'], 2513, 0.6224489795918368]
[['butter'], 545, '->', ['tropical fruit', 'whole milk'], 416, 0.11192660550458716]
[['tropical fruit', 'whole milk'], 416, '->', ['butter'], 545, 0.1466346153846154]
[['whole milk', 'rolls/buns'], 557, '->', ['tropical fruit'], 1032, 0.19389587073608616]
[['tropical fruit', 'rolls/buns'], 242, '->', ['whole milk'], 2513, 0.4462809917355372]
[['tropical fruit', 'whole milk'], 416, '->', ['rolls/buns'], 1809, 0.25961538461538464]
[['whole milk', 'bottled water'], 338, '->', ['tropical fruit'], 1032, 0.23372781065088757]
[['tropical fruit', 'bottled water'], 182, '->', ['whole milk'], 2513, 0.4340659340659341]
[['tropical fruit', 'whole milk'], 416, '->', ['bottled water'], 1087, 0.18990384615384615]
[['whole milk', 'curd'], 257, '->', ['tropical fruit'], 1032, 0.2490272373540856]
[['curd'], 524, '->', ['tropical fruit', 'whole milk'], 416, 0.12213740458015267]
[['tropical fruit', 'curd'], 101, '->', ['whole milk'], 2513, 0.6336633663366337]
[['curd'], 524, '->', ['tropical fruit', 'whole milk'], 416, 0.12213740458015267]
[['tropical fruit', 'whole milk'], 416, '->', ['curd'], 524, 0.15384615384615385]
[['whole milk', 'soda'], 394, '->', ['tropical fruit'], 1032, 0.19543147208121828]
[['tropical fruit', 'soda'], 205, '->', ['whole milk'], 2513, 0.375609756097561]
[['tropical fruit', 'whole milk'], 416, '->', ['soda'], 1715, 0.18509615384615385]
[['whole milk', 'pastry'], 327, '->', ['tropical fruit'], 1032, 0.2018348623853211]
[['tropical fruit', 'pastry'], 130, '->', ['whole milk'], 2513, 0.5076923076923077]
[['tropical fruit', 'whole milk'], 416, '->', ['pastry'], 875, 0.15865384615384615]
[['whole milk', 'root vegetables'], 481, '->', ['tropical fruit'], 1032, 0.24532224532224534]
[['root vegetables'], 1072, '->', ['tropical fruit', 'whole milk'], 416, 0.11007462686567164]
