[['citrus fruit'], 814]
[['bottled water', 'specialty cheese'], 17]
[['bottled water', 'dog food'], 14]
[['bottled water', 'dish cleaner'], 15]
[['bottled water', 'meat'], 30]
[['bottled water', 'mustard'], 20]
[['bottled water', 'pet care'], 13]
[['bottled water', 'roll products'], 14]
[['bottled water', 'jam'], 12]
[['chocolate', 'curd'], 28]
[['chocolate', 'flour'], 18]
[['chocolate', 'beef'], 33]
[['chocolate', 'frankfurter'], 40]
[['chocolate', 'soda'], 133]
[['chocolate', 'chicken'], 27]
[['chocolate', 'sugar'], 24]
[['chocolate', 'fruit/vegetable juice'], 67]
[['chocolate', 'newspapers'], 54]
[['chocolate', 'specialty bar'], 29]
[['chocolate', 'butter milk'], 21]
[['chocolate', 'pastry'], 79]
[['chocolate', 'processed cheese'], 13]
[['chocolate', 'root vegetables'], 63]
[['chocolate', 'salty snack'], 35]
[['chocolate', 'waffles'], 57]
[['chocolate', 'candy'], 49]
[['chocolate', 'canned beer'], 30]
[['chocolate', 'sausage'], 65]
[['chocolate', 'brown bread'], 38]
[['chocolate', 'shopping bags'], 80]
[['chocolate', 'beverages'], 18]
[['chocolate', 'hamburger meat'], 24]
[['chocolate', 'hygiene articles'], 27]
[['chocolate', 'napkins'], 48]
[['chocolate', 'pork'], 42]
[['chocolate', 'berries'], 24]
[['chocolate', 'whipped/sour cream'], 45]
[['chocolate', 'grapes'], 24]
[['chocolate', 'dessert'], 36]
[['chocolate', 'domestic eggs'], 36]
[['chocolate', 'spread cheese'], 11]
[['chocolate', 'misc. beverages'], 23]
[['chocolate', 'hard cheese'], 21]
[['chocolate', 'cat food'], 31]
[['chocolate', 'ham'], 27]
[['chocolate', 'baking powder'], 19]
[['chocolate', 'pickled vegetables'], 14]
[['chocolate', 'oil'], 27]
[['chocolate', 'chocolate marshmallow'], 16]
[['chocolate', 'ice cream'], 12]
[['chocolate', 'frozen vegetables'], 25]
[['chocolate', 'canned fish'], 14]
[['chocolate', 'red/blush wine'], 15]
[['chocolate', 'frozen potato products'], 11]
[['chocolate', 'specialty chocolate'], 31]
[['chocolate', 'frozen meals'], 23]
[['chocolate', 'canned vegetables'], 11]
[['chocolate', 'onions'], 22]
[['chocolate', 'sliced cheese'], 17]
[['chocolate', 'soft cheese'], 20]
[['chocolate', 'cake bar'], 14]
[['chocolate', 'finished products'], 12]
[['chocolate', 'meat'], 12]
[['chocolate', 'mustard'], 15]
[['chocolate', 'house keeping products'], 13]
[['chocolate', 'mayonnaise'], 16]
[['curd', 'flour'], 31]
[['curd', 'beef'], 46]
[['curd', 'frankfurter'], 43]
[['curd', 'soda'], 80]
[['curd', 'chicken'], 34]
[['curd', 'sugar'], 34]
[['curd', 'fruit/vegetable juice'], 48]
[['curd', 'newspapers'], 56]
[['curd', 'specialty bar'], 15]
[['curd', 'butter milk'], 32]
[['curd', 'pastry'], 74]
[['curd', 'processed cheese'], 12]
[['curd', 'detergent'], 17]
[['curd', 'root vegetables'], 107]
[['curd', 'frozen dessert'], 14]
[['curd', 'salty snack'], 30]
[['curd', 'waffles'], 33]
[['curd', 'candy'], 24]
[['curd', 'canned beer'], 20]
[['curd', 'sausage'], 75]
[['curd', 'brown bread'], 48]
[['curd', 'shopping bags'], 53]
[['curd', 'beverages'], 15]
[['curd', 'hamburger meat'], 31]
[['curd', 'hygiene articles'], 39]
[['curd', 'napkins'], 47]
[['curd', 'pork'], 42]
[['curd', 'berries'], 29]
[['curd', 'whipped/sour cream'], 103]
[['curd', 'grapes'], 20]
[['curd', 'dessert'], 51]
[['curd', 'domestic eggs'], 64]
[['curd', 'misc. beverages'], 19]
[['curd', 'hard cheese'], 21]
[['curd', 'cat food'], 23]
[['curd', 'ham'], 24]
[['curd', 'turkey'], 15]
[['curd', 'baking powder'], 18]
[['curd', 'pickled vegetables'], 12]
[['curd', 'oil'], 26]
[['curd', 'chewing gum'], 14]
[['curd', 'ice cream'], 12]
[['curd', 'frozen vegetables'], 44]
[['curd', 'canned fish'], 12]
[['curd', 'seasonal products'], 12]
[['curd', 'specialty chocolate'], 17]
[['curd', 'frozen meals'], 23]
[['curd', 'onions'], 25]
[['curd', 'herbs'], 24]
[['curd', 'sliced cheese'], 28]
[['curd', 'pasta'], 14]
[['curd', 'Instant food products'], 13]
[['curd', 'soft cheese'], 22]
[['curd', 'cake bar'], 19]
[['curd', 'meat'], 19]
[['curd', 'mustard'], 11]
[['curd', 'house keeping products'], 11]
[['curd', 'roll products'], 14]
[['flour', 'beef'], 28]
[['flour', 'frankfurter'], 19]
[['flour', 'soda'], 28]
[['flour', 'chicken'], 18]
[['flour', 'sugar'], 49]
[['flour', 'fruit/vegetable juice'], 24]
[['flour', 'newspapers'], 15]
[['flour', 'pastry'], 25]
[['flour', 'root vegetables'], 46]
[['flour', 'salty snack'], 17]
[['flour', 'waffles'], 11]
[['flour', 'sausage'], 18]
[['flour', 'brown bread'], 14]
[['flour', 'shopping bags'], 18]
[['flour', 'hygiene articles'], 16]
[['flour', 'napkins'], 16]
[['flour', 'pork'], 20]
[['flour', 'whipped/sour cream'], 40]
[['flour', 'dessert'], 11]
[['flour', 'domestic eggs'], 32]
[['flour', 'cat food'], 12]
[['flour', 'baking powder'], 18]
[['flour', 'oil'], 18]
[['flour', 'frozen vegetables'], 12]
[['dishes', 'beef'], 15]
[['dishes', 'soda'], 21]
[['dishes', 'sugar'], 11]
[['dishes', 'fruit/vegetable juice'], 13]
[['dishes', 'newspapers'], 13]
[['dishes', 'pastry'], 17]
[['dishes', 'root vegetables'], 27]
[['dishes', 'waffles'], 12]
[['dishes', 'sausage'], 13]
[['dishes', 'shopping bags'], 17]
[['dishes', 'napkins'], 27]
[['dishes', 'pork'], 17]
[['dishes', 'whipped/sour cream'], 18]
[['dishes', 'domestic eggs'], 17]
[['dishes', 'oil'], 11]
[['dishes', 'onions'], 12]
[['beef', 'frankfurter'], 47]
[['beef', 'soda'], 80]
[['beef', 'chicken'], 47]
[['beef', 'sugar'], 29]
[['beef', 'fruit/vegetable juice'], 50]
[['beef', 'newspapers'], 63]
[['beef', 'packaged fruit/vegetables'], 15]
[['beef', 'butter milk'], 18]
[['beef', 'pastry'], 62]
[['beef', 'detergent'], 19]
[['beef', 'root vegetables'], 171]
[['beef', 'salty snack'], 26]
[['beef', 'waffles'], 30]
[['beef', 'candy'], 12]
[['beef', 'canned beer'], 21]
[['beef', 'sausage'], 55]
[['beef', 'brown bread'], 44]
[['beef', 'shopping bags'], 48]
[['beef', 'hamburger meat'], 37]
[['beef', 'hygiene articles'], 32]
[['beef', 'napkins'], 40]
[['beef', 'pork'], 75]
[['beef', 'berries'], 44]
[['beef', 'whipped/sour cream'], 66]
[['beef', 'grapes'], 25]
[['beef', 'dessert'], 26]
[['beef', 'domestic eggs'], 59]
[['beef', 'misc. beverages'], 11]
[['beef', 'hard cheese'], 12]
[['beef', 'cat food'], 34]
[['beef', 'ham'], 21]
[['beef', 'turkey'], 11]
[['beef', 'baking powder'], 15]
[['beef', 'pickled vegetables'], 23]
[['beef', 'oil'], 31]
[['beef', 'ice cream'], 14]
[['beef', 'frozen vegetables'], 45]
[['beef', 'canned fish'], 14]
[['beef', 'red/blush wine'], 11]
[['beef', 'frozen potato products'], 11]
[['beef', 'specialty chocolate'], 23]
[['beef', 'frozen meals'], 20]
[['beef', 'onions'], 31]
[['beef', 'herbs'], 28]
[['beef', 'white wine'], 11]
[['beef', 'sliced cheese'], 21]
[['beef', 'pasta'], 17]
[['beef', 'soft cheese'], 24]
[['beef', 'dog food'], 12]
[['beef', 'dish cleaner'], 11]
[['beef', 'meat'], 18]
[['beef', 'mustard'], 12]
[['beef', 'roll products'], 13]
[['beef', 'mayonnaise'], 12]
[['beef', 'jam'], 12]
[['frankfurter', 'soda'], 111]
[['frankfurter', 'chicken'], 36]
[['frankfurter', 'sugar'], 37]
[['frankfurter', 'fruit/vegetable juice'], 52]
[['frankfurter', 'newspapers'], 49]
[['frankfurter', 'packaged fruit/vegetables'], 12]
[['frankfurter', 'specialty bar'], 17]
[['frankfurter', 'butter milk'], 32]
[['frankfurter', 'pastry'], 82]
[['frankfurter', 'processed cheese'], 20]
[['frankfurter', 'detergent'], 20]
[['frankfurter', 'root vegetables'], 100]
[['frankfurter', 'frozen dessert'], 13]
[['frankfurter', 'salty snack'], 31]
[['frankfurter', 'waffles'], 31]
[['frankfurter', 'candy'], 22]
[['frankfurter', 'canned beer'], 28]
[['frankfurter', 'sausage'], 99]
[['frankfurter', 'brown bread'], 70]
[['frankfurter', 'shopping bags'], 81]
[['frankfurter', 'beverages'], 14]
[['frankfurter', 'hamburger meat'], 33]
[['frankfurter', 'hygiene articles'], 31]
[['frankfurter', 'napkins'], 39]
[['frankfurter', 'pork'], 58]
[['frankfurter', 'berries'], 22]
[['frankfurter', 'whipped/sour cream'], 61]
[['frankfurter', 'grapes'], 21]
[['frankfurter', 'dessert'], 35]
[['frankfurter', 'domestic eggs'], 69]
[['frankfurter', 'misc. beverages'], 12]
[['frankfurter', 'hard cheese'], 22]
[['frankfurter', 'ham'], 25]
[['frankfurter', 'baking powder'], 14]
[['frankfurter', 'pickled vegetables'], 27]
[['frankfurter', 'oil'], 25]
[['frankfurter', 'chewing gum'], 18]
[['frankfurter', 'ice cream'], 12]
[['frankfurter', 'frozen vegetables'], 50]
[['frankfurter', 'canned fish'], 18]
[['frankfurter', 'seasonal products'], 15]
[['frankfurter', 'frozen potato products'], 15]
[['frankfurter', 'specialty chocolate'], 17]
[['frankfurter', 'frozen meals'], 29]
[['frankfurter', 'onions'], 37]
[['frankfurter', 'sliced cheese'], 23]
[['frankfurter', 'pasta'], 13]
[['frankfurter', 'soft cheese'], 22]
[['frankfurter', 'frozen fish'], 17]
[['frankfurter', 'dish cleaner'], 11]
[['frankfurter', 'meat'], 32]
[['frankfurter', 'mustard'], 25]
[['frankfurter', 'soups'], 11]
[['frankfurter', 'vinegar'], 11]
[['frankfurter', 'mayonnaise'], 14]
[['soda', 'chicken'], 82]
[['soda', 'sugar'], 72]
[['soda', 'fruit/vegetable juice'], 181]
[['soda', 'newspapers'], 144]
[['soda', 'packaged fruit/vegetables'], 21]
[['soda', 'specialty bar'], 71]
[['soda', 'butter milk'], 45]
[['soda', 'pastry'], 207]
[['soda', 'processed cheese'], 52]
[['soda', 'detergent'], 34]
[['soda', 'root vegetables'], 183]
[['soda', 'frozen dessert'], 25]
[['soda', 'sweet spreads'], 25]
[['soda', 'salty snack'], 92]
[['soda', 'waffles'], 94]
[['soda', 'candy'], 85]
[['soda', 'canned beer'], 136]
[['soda', 'sausage'], 239]
[['soda', 'brown bread'], 124]
[['soda', 'shopping bags'], 242]
[['soda', 'beverages'], 47]
[['soda', 'hamburger meat'], 57]
[['soda', 'hygiene articles'], 69]
[['soda', 'napkins'], 118]
[['soda', 'pork'], 117]
[['soda', 'berries'], 72]
[['soda', 'whipped/sour cream'], 114]
[['soda', 'grapes'], 40]
[['soda', 'dessert'], 97]
[['soda', 'zwieback'], 11]
[['soda', 'domestic eggs'], 122]
[['soda', 'spread cheese'], 31]
[['soda', 'misc. beverages'], 72]
[['soda', 'hard cheese'], 40]
[['soda', 'cat food'], 45]
[['soda', 'ham'], 49]
[['soda', 'turkey'], 12]
[['soda', 'baking powder'], 23]
[['soda', 'pickled vegetables'], 40]
[['soda', 'oil'], 46]
[['soda', 'chewing gum'], 53]
[['soda', 'chocolate marshmallow'], 24]
[['soda', 'ice cream'], 60]
[['soda', 'frozen vegetables'], 85]
[['soda', 'canned fish'], 29]
[['soda', 'seasonal products'], 26]
[['soda', 'red/blush wine'], 45]
[['soda', 'frozen potato products'], 27]
[['soda', 'specialty chocolate'], 62]
[['soda', 'candles'], 12]
[['soda', 'flower (seeds)'], 16]
[['soda', 'salt'], 16]
[['soda', 'frozen meals'], 61]
[['soda', 'canned vegetables'], 30]
[['soda', 'onions'], 52]
[['soda', 'herbs'], 19]
[['soda', 'white wine'], 36]
[['soda', 'photo/film'], 11]
[['soda', 'sliced cheese'], 50]
[['soda', 'pasta'], 40]
[['soda', 'softener'], 11]
[['soda', 'cling film/bags'], 23]
[['soda', 'Instant food products'], 19]
[['soda', 'soft cheese'], 27]
[['soda', 'dental care'], 11]
[['soda', 'popcorn'], 19]
[['soda', 'cake bar'], 44]
[['soda', 'snack products'], 11]
[['soda', 'specialty cheese'], 14]
[['soda', 'finished products'], 17]
[['soda', 'dog food'], 18]
[['soda', 'frozen fish'], 12]
[['soda', 'cleaner'], 11]
[['soda', 'female sanitary products'], 14]
[['soda', 'dish cleaner'], 24]
[['soda', 'meat'], 54]
[['soda', 'mustard'], 23]
[['soda', 'house keeping products'], 17]
[['soda', 'liquor'], 21]
[['soda', 'pet care'], 21]
[['soda', 'soups'], 12]
[['soda', 'instant coffee'], 24]
[['soda', 'roll products'], 16]
[['soda', 'mayonnaise'], 24]
[['soda', 'liver loaf'], 11]
[['soda', 'kitchen towels'], 12]
[['soda', 'ketchup'], 13]
[['soda', 'jam'], 13]
[['chicken', 'sugar'], 25]
[['chicken', 'fruit/vegetable juice'], 36]
[['chicken', 'newspapers'], 51]
[['chicken', 'packaged fruit/vegetables'], 15]
[['chicken', 'butter milk'], 17]
[['chicken', 'pastry'], 47]
[['chicken', 'processed cheese'], 11]
[['chicken', 'detergent'], 13]
[['chicken', 'root vegetables'], 107]
[['chicken', 'salty snack'], 21]
[['chicken', 'waffles'], 21]
[['chicken', 'candy'], 21]
[['chicken', 'canned beer'], 32]
[['chicken', 'sausage'], 52]
[['chicken', 'brown bread'], 36]
[['chicken', 'shopping bags'], 49]
[['chicken', 'beverages'], 14]
[['chicken', 'hamburger meat'], 37]
[['chicken', 'hygiene articles'], 19]
[['chicken', 'napkins'], 38]
[['chicken', 'pork'], 57]
[['chicken', 'berries'], 31]
[['chicken', 'whipped/sour cream'], 71]
[['chicken', 'grapes'], 17]
[['chicken', 'dessert'], 23]
[['chicken', 'domestic eggs'], 61]
[['chicken', 'hard cheese'], 11]
[['chicken', 'ham'], 17]
[['chicken', 'pickled vegetables'], 19]
[['chicken', 'oil'], 24]
[['chicken', 'ice cream'], 15]
[['chicken', 'frozen vegetables'], 66]
[['chicken', 'red/blush wine'], 13]
[['chicken', 'specialty chocolate'], 16]
[['chicken', 'salt'], 11]
[['chicken', 'frozen meals'], 18]
[['chicken', 'onions'], 28]
[['chicken', 'herbs'], 20]
[['chicken', 'white wine'], 12]
[['chicken', 'sliced cheese'], 14]
[['chicken', 'pasta'], 16]
[['chicken', 'soft cheese'], 19]
[['chicken', 'meat'], 23]
[['chicken', 'roll products'], 12]
[['sugar', 'fruit/vegetable juice'], 47]
[['sugar', 'newspapers'], 31]
[['sugar', 'butter milk'], 13]
[['sugar', 'pastry'], 51]
[['sugar', 'processed cheese'], 11]
[['sugar', 'root vegetables'], 63]
[['sugar', 'salty snack'], 24]
[['sugar', 'waffles'], 17]
[['sugar', 'candy'], 16]
[['sugar', 'canned beer'], 15]
[['sugar', 'sausage'], 36]
[['sugar', 'brown bread'], 33]
[['sugar', 'shopping bags'], 35]
[['sugar', 'hamburger meat'], 19]
[['sugar', 'hygiene articles'], 26]
[['sugar', 'napkins'], 33]
[['sugar', 'pork'], 44]
[['sugar', 'berries'], 22]
[['sugar', 'whipped/sour cream'], 48]
[['sugar', 'dessert'], 19]
[['sugar', 'domestic eggs'], 49]
[['sugar', 'hard cheese'], 17]
[['sugar', 'cat food'], 16]
[['sugar', 'ham'], 18]
[['sugar', 'baking powder'], 32]
[['sugar', 'oil'], 22]
[['sugar', 'chewing gum'], 11]
[['sugar', 'ice cream'], 12]
[['sugar', 'frozen vegetables'], 31]
[['sugar', 'salt'], 18]
[['sugar', 'onions'], 17]
[['sugar', 'sliced cheese'], 14]
[['sugar', 'pasta'], 11]
[['sugar', 'soft cheese'], 11]
[['sugar', 'frozen fish'], 12]
[['sugar', 'meat'], 11]
[['sugar', 'roll products'], 13]
[['fruit/vegetable juice', 'newspapers'], 81]
[['fruit/vegetable juice', 'packaged fruit/vegetables'], 12]
[['fruit/vegetable juice', 'specialty bar'], 26]
[['fruit/vegetable juice', 'butter milk'], 46]
[['fruit/vegetable juice', 'pastry'], 84]
[['fruit/vegetable juice', 'processed cheese'], 29]
[['fruit/vegetable juice', 'detergent'], 13]
[['fruit/vegetable juice', 'root vegetables'], 118]
[['fruit/vegetable juice', 'frozen dessert'], 11]
[['fruit/vegetable juice', 'sweet spreads'], 15]
[['fruit/vegetable juice', 'salty snack'], 59]
[['fruit/vegetable juice', 'waffles'], 37]
[['fruit/vegetable juice', 'candy'], 39]
[['fruit/vegetable juice', 'canned beer'], 39]
[['fruit/vegetable juice', 'sausage'], 99]
[['fruit/vegetable juice', 'brown bread'], 82]
[['fruit/vegetable juice', 'shopping bags'], 105]
[['fruit/vegetable juice', 'beverages'], 28]
[['fruit/vegetable juice', 'hamburger meat'], 35]
[['fruit/vegetable juice', 'hygiene articles'], 38]
[['fruit/vegetable juice', 'napkins'], 68]
[['fruit/vegetable juice', 'pork'], 48]
[['fruit/vegetable juice', 'berries'], 36]
[['fruit/vegetable juice', 'whipped/sour cream'], 89]
[['fruit/vegetable juice', 'grapes'], 32]
[['fruit/vegetable juice', 'dessert'], 59]
[['fruit/vegetable juice', 'domestic eggs'], 79]
[['fruit/vegetable juice', 'spread cheese'], 14]
[['fruit/vegetable juice', 'misc. beverages'], 39]
[['fruit/vegetable juice', 'hard cheese'], 41]
[['fruit/vegetable juice', 'cat food'], 23]
[['fruit/vegetable juice', 'ham'], 38]
[['fruit/vegetable juice', 'turkey'], 15]
[['fruit/vegetable juice', 'baking powder'], 22]
[['fruit/vegetable juice', 'pickled vegetables'], 24]
[['fruit/vegetable juice', 'oil'], 37]
[['fruit/vegetable juice', 'chewing gum'], 20]
[['fruit/vegetable juice', 'ice cream'], 21]
[['fruit/vegetable juice', 'frozen vegetables'], 77]
[['fruit/vegetable juice', 'canned fish'], 16]
[['fruit/vegetable juice', 'red/blush wine'], 18]
[['fruit/vegetable juice', 'frozen potato products'], 16]
[['fruit/vegetable juice', 'specialty chocolate'], 26]
[['fruit/vegetable juice', 'salt'], 15]
[['fruit/vegetable juice', 'frozen meals'], 39]
[['fruit/vegetable juice', 'canned vegetables'], 15]
[['fruit/vegetable juice', 'onions'], 37]
[['fruit/vegetable juice', 'herbs'], 15]
[['fruit/vegetable juice', 'white wine'], 16]
[['fruit/vegetable juice', 'sliced cheese'], 41]
[['fruit/vegetable juice', 'pasta'], 21]
[['fruit/vegetable juice', 'cling film/bags'], 13]
[['fruit/vegetable juice', 'soft cheese'], 27]
[['fruit/vegetable juice', 'popcorn'], 13]
[['fruit/vegetable juice', 'cake bar'], 13]
[['fruit/vegetable juice', 'dog food'], 15]
[['fruit/vegetable juice', 'frozen fish'], 12]
[['fruit/vegetable juice', 'meat'], 30]
[['fruit/vegetable juice', 'mustard'], 17]
[['fruit/vegetable juice', 'pet care'], 11]
[['fruit/vegetable juice', 'roll products'], 14]
[['fruit/vegetable juice', 'mayonnaise'], 12]
[['newspapers', 'specialty bar'], 18]
[['newspapers', 'butter milk'], 22]
[['newspapers', 'pastry'], 83]
[['newspapers', 'processed cheese'], 11]
[['newspapers', 'detergent'], 19]
[['newspapers', 'root vegetables'], 113]
[['newspapers', 'sweet spreads'], 12]
[['newspapers', 'salty snack'], 29]
[['newspapers', 'waffles'], 41]
[['newspapers', 'candy'], 22]
[['newspapers', 'canned beer'], 49]
[['newspapers', 'sausage'], 79]
[['newspapers', 'brown bread'], 75]
[['newspapers', 'shopping bags'], 68]
[['newspapers', 'beverages'], 24]
[['newspapers', 'hamburger meat'], 27]
[['newspapers', 'hygiene articles'], 30]
[['newspapers', 'napkins'], 61]
[['newspapers', 'pork'], 65]
[['newspapers', 'berries'], 27]
[['newspapers', 'whipped/sour cream'], 71]
[['newspapers', 'grapes'], 19]
[['newspapers', 'dessert'], 35]
[['newspapers', 'domestic eggs'], 68]
[['newspapers', 'spread cheese'], 16]
[['newspapers', 'misc. beverages'], 18]
[['newspapers', 'hard cheese'], 25]
[['newspapers', 'cat food'], 27]
[['newspapers', 'ham'], 24]
[['newspapers', 'baking powder'], 18]
[['newspapers', 'pickled vegetables'], 22]
[['newspapers', 'oil'], 31]
[['newspapers', 'chewing gum'], 16]
[['newspapers', 'ice cream'], 29]
[['newspapers', 'frozen vegetables'], 45]
[['newspapers', 'canned fish'], 15]
[['newspapers', 'red/blush wine'], 21]
[['newspapers', 'specialty chocolate'], 19]
[['newspapers', 'salt'], 14]
[['newspapers', 'frozen meals'], 25]
[['newspapers', 'canned vegetables'], 11]
[['newspapers', 'onions'], 31]
[['newspapers', 'white wine'], 16]
[['newspapers', 'sliced cheese'], 31]
[['newspapers', 'pasta'], 12]
[['newspapers', 'Instant food products'], 11]
[['newspapers', 'soft cheese'], 13]
[['newspapers', 'dental care'], 13]
[['newspapers', 'cake bar'], 11]
[['newspapers', 'frozen fish'], 12]
[['newspapers', 'meat'], 30]
[['newspapers', 'mustard'], 17]
[['newspapers', 'instant coffee'], 11]
[['packaged fruit/vegetables', 'pastry'], 17]
[['packaged fruit/vegetables', 'root vegetables'], 34]
[['packaged fruit/vegetables', 'sausage'], 18]
[['packaged fruit/vegetables', 'brown bread'], 16]
[['packaged fruit/vegetables', 'pork'], 12]
[['packaged fruit/vegetables', 'berries'], 14]
[['packaged fruit/vegetables', 'whipped/sour cream'], 14]
[['packaged fruit/vegetables', 'domestic eggs'], 11]
[['packaged fruit/vegetables', 'frozen vegetables'], 17]
[['specialty bar', 'pastry'], 42]
[['specialty bar', 'root vegetables'], 21]
[['specialty bar', 'salty snack'], 23]
[['specialty bar', 'waffles'], 28]
[['specialty bar', 'candy'], 15]
[['specialty bar', 'canned beer'], 15]
[['specialty bar', 'sausage'], 23]
[['specialty bar', 'brown bread'], 12]
[['specialty bar', 'shopping bags'], 34]
[['specialty bar', 'beverages'], 12]
[['specialty bar', 'napkins'], 22]
[['specialty bar', 'pork'], 18]
[['specialty bar', 'berries'], 18]
[['specialty bar', 'whipped/sour cream'], 15]
[['specialty bar', 'grapes'], 12]
[['specialty bar', 'dessert'], 14]
[['specialty bar', 'domestic eggs'], 15]
[['specialty bar', 'cat food'], 11]
[['specialty bar', 'ham'], 12]
[['specialty bar', 'specialty chocolate'], 18]
[['specialty bar', 'frozen meals'], 13]
[['specialty bar', 'cake bar'], 11]
[['butter milk', 'pastry'], 33]
[['butter milk', 'root vegetables'], 50]
[['butter milk', 'salty snack'], 17]
[['butter milk', 'waffles'], 16]
[['butter milk', 'sausage'], 36]
[['butter milk', 'brown bread'], 37]
[['butter milk', 'shopping bags'], 38]
[['butter milk', 'beverages'], 14]
[['butter milk', 'hamburger meat'], 14]
[['butter milk', 'hygiene articles'], 12]
[['butter milk', 'napkins'], 19]
[['butter milk', 'pork'], 21]
[['butter milk', 'berries'], 20]
[['butter milk', 'whipped/sour cream'], 38]
[['butter milk', 'dessert'], 28]
[['butter milk', 'domestic eggs'], 22]
[['butter milk', 'hard cheese'], 14]
[['butter milk', 'ham'], 16]
[['butter milk', 'oil'], 13]
[['butter milk', 'ice cream'], 11]
[['butter milk', 'frozen vegetables'], 21]
[['butter milk', 'specialty chocolate'], 11]
[['butter milk', 'onions'], 16]
[['butter milk', 'sliced cheese'], 24]
[['pastry', 'processed cheese'], 29]
[['pastry', 'detergent'], 23]
[['pastry', 'root vegetables'], 108]
[['pastry', 'frozen dessert'], 16]
[['pastry', 'sweet spreads'], 11]
[['pastry', 'salty snack'], 51]
[['pastry', 'waffles'], 69]
[['pastry', 'candy'], 36]
[['pastry', 'canned beer'], 44]
[['pastry', 'sausage'], 123]
[['pastry', 'brown bread'], 95]
[['pastry', 'shopping bags'], 117]
[['pastry', 'beverages'], 32]
[['pastry', 'hamburger meat'], 45]
[['pastry', 'hygiene articles'], 45]
[['pastry', 'napkins'], 69]
[['pastry', 'pork'], 62]
[['pastry', 'berries'], 42]
[['pastry', 'whipped/sour cream'], 74]
[['pastry', 'grapes'], 38]
[['pastry', 'dessert'], 53]
[['pastry', 'domestic eggs'], 89]
[['pastry', 'spread cheese'], 17]
[['pastry', 'misc. beverages'], 19]
[['pastry', 'hard cheese'], 28]
[['pastry', 'cat food'], 31]
[['pastry', 'ham'], 41]
[['pastry', 'turkey'], 19]
[['pastry', 'baking powder'], 16]
[['pastry', 'pickled vegetables'], 19]
[['pastry', 'oil'], 30]
[['pastry', 'chewing gum'], 17]
[['pastry', 'chocolate marshmallow'], 14]
[['pastry', 'ice cream'], 21]
[['pastry', 'frozen vegetables'], 47]
[['pastry', 'canned fish'], 22]
[['pastry', 'seasonal products'], 19]
[['pastry', 'red/blush wine'], 20]
[['pastry', 'frozen potato products'], 15]
[['pastry', 'specialty chocolate'], 37]
[['pastry', 'candles'], 19]
[['pastry', 'flower (seeds)'], 11]
[['pastry', 'frozen meals'], 27]
[['pastry', 'onions'], 29]
[['pastry', 'sliced cheese'], 36]
[['pastry', 'pasta'], 17]
[['pastry', 'Instant food products'], 14]
[['pastry', 'soft cheese'], 27]
[['pastry', 'cake bar'], 20]
[['pastry', 'finished products'], 14]
[['pastry', 'frozen fish'], 11]
[['pastry', 'dish cleaner'], 12]
[['pastry', 'meat'], 26]
[['pastry', 'mustard'], 14]
[['pastry', 'vinegar'], 11]
[['pastry', 'roll products'], 11]
[['pastry', 'mayonnaise'], 12]
[['processed cheese', 'root vegetables'], 31]
[['processed cheese', 'waffles'], 14]
[['processed cheese', 'candy'], 16]
[['processed cheese', 'sausage'], 33]
[['processed cheese', 'brown bread'], 15]
[['processed cheese', 'shopping bags'], 20]
[['processed cheese', 'napkins'], 16]
[['processed cheese', 'pork'], 15]
[['processed cheese', 'whipped/sour cream'], 19]
[['processed cheese', 'dessert'], 11]
[['processed cheese', 'domestic eggs'], 21]
[['processed cheese', 'ham'], 30]
[['processed cheese', 'pickled vegetables'], 11]
[['processed cheese', 'frozen vegetables'], 18]
[['detergent', 'root vegetables'], 43]
[['detergent', 'salty snack'], 12]
[['detergent', 'sausage'], 25]
[['detergent', 'brown bread'], 13]
[['detergent', 'shopping bags'], 25]
[['detergent', 'hamburger meat'], 11]
[['detergent', 'hygiene articles'], 15]
[['detergent', 'napkins'], 19]
[['detergent', 'pork'], 17]
[['detergent', 'berries'], 15]
[['detergent', 'whipped/sour cream'], 19]
[['detergent', 'grapes'], 11]
[['detergent', 'dessert'], 11]
[['detergent', 'domestic eggs'], 15]
[['detergent', 'oil'], 18]
[['detergent', 'frozen vegetables'], 27]
[['detergent', 'pasta'], 11]
[['detergent', 'softener'], 11]
[['detergent', 'meat'], 11]
[['root vegetables', 'frozen dessert'], 24]
[['root vegetables', 'sweet spreads'], 20]
[['root vegetables', 'salty snack'], 49]
[['root vegetables', 'waffles'], 65]
[['root vegetables', 'candy'], 42]
[['root vegetables', 'canned beer'], 40]
[['root vegetables', 'sausage'], 147]
[['root vegetables', 'brown bread'], 100]
[['root vegetables', 'shopping bags'], 126]
[['root vegetables', 'beverages'], 31]
[['root vegetables', 'hamburger meat'], 61]
[['root vegetables', 'hygiene articles'], 53]
[['root vegetables', 'napkins'], 98]
[['root vegetables', 'pork'], 134]
[['root vegetables', 'berries'], 65]
[['root vegetables', 'whipped/sour cream'], 168]
[['root vegetables', 'grapes'], 44]
[['root vegetables', 'dessert'], 57]
[['root vegetables', 'domestic eggs'], 141]
[['root vegetables', 'spread cheese'], 17]
[['root vegetables', 'misc. beverages'], 30]
[['root vegetables', 'hard cheese'], 55]
[['root vegetables', 'cat food'], 46]
[['root vegetables', 'ham'], 36]
[['root vegetables', 'turkey'], 25]
[['root vegetables', 'baking powder'], 35]
[['root vegetables', 'pickled vegetables'], 40]
[['root vegetables', 'oil'], 69]
