[['semi-finished bread'], 174, '->', ['citrus fruit'], 814, 0.13793103448275862]
[['pip fruit', 'white bread'], 65, '->', ['whipped/sour cream'], 705, 0.18461538461538463]
[['white bread', 'domestic eggs'], 57, '->', ['pip fruit'], 744, 0.22807017543859648]
[['pip fruit', 'domestic eggs'], 85, '->', ['white bread'], 414, 0.15294117647058825]
[['pip fruit', 'white bread'], 65, '->', ['domestic eggs'], 624, 0.2]
[['white bread', 'ham'], 50, '->', ['pip fruit'], 744, 0.24]
[['pip fruit', 'ham'], 39, '->', ['white bread'], 414, 0.3076923076923077]
[['pip fruit', 'white bread'], 65, '->', ['ham'], 256, 0.18461538461538463]
[['white bread', 'frozen vegetables'], 35, '->', ['pip fruit'], 744, 0.3142857142857143]
[['pip fruit', 'frozen vegetables'], 72, '->', ['white bread'], 414, 0.1527777777777778]
[['pip fruit', 'white bread'], 65, '->', ['frozen vegetables'], 473, 0.16923076923076924]
[['bottled water', 'curd'], 60, '->', ['pip fruit'], 744, 0.18333333333333332]
[['pip fruit', 'curd'], 77, '->', ['bottled water'], 1087, 0.14285714285714285]
[['pip fruit', 'bottled water'], 104, '->', ['curd'], 524, 0.10576923076923077]
[['pip fruit', 'soda'], 131, '->', ['bottled water'], 1087, 0.1984732824427481]
[['pip fruit', 'bottled water'], 104, '->', ['soda'], 1715, 0.25]
[['bottled water', 'fruit/vegetable juice'], 140, '->', ['pip fruit'], 744, 0.1357142857142857]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['bottled water'], 1087, 0.20212765957446807]
[['pip fruit', 'bottled water'], 104, '->', ['fruit/vegetable juice'], 711, 0.18269230769230768]
[['bottled water', 'newspapers'], 111, '->', ['pip fruit'], 744, 0.15315315315315314]
[['pip fruit', 'newspapers'], 66, '->', ['bottled water'], 1087, 0.25757575757575757]
[['pip fruit', 'bottled water'], 104, '->', ['newspapers'], 785, 0.16346153846153846]
[['bottled water', 'root vegetables'], 154, '->', ['pip fruit'], 744, 0.14285714285714285]
[['pip fruit', 'root vegetables'], 153, '->', ['bottled water'], 1087, 0.1437908496732026]
[['pip fruit', 'bottled water'], 104, '->', ['root vegetables'], 1072, 0.21153846153846154]
[['bottled water', 'sausage'], 118, '->', ['pip fruit'], 744, 0.1864406779661017]
[['pip fruit', 'sausage'], 106, '->', ['bottled water'], 1087, 0.20754716981132076]
[['pip fruit', 'bottled water'], 104, '->', ['sausage'], 924, 0.21153846153846154]
[['bottled water', 'shopping bags'], 108, '->', ['pip fruit'], 744, 0.12962962962962962]
[['pip fruit', 'shopping bags'], 92, '->', ['bottled water'], 1087, 0.15217391304347827]
[['pip fruit', 'bottled water'], 104, '->', ['shopping bags'], 969, 0.1346153846153846]
[['bottled water', 'napkins'], 85, '->', ['pip fruit'], 744, 0.16470588235294117]
[['pip fruit', 'napkins'], 66, '->', ['bottled water'], 1087, 0.21212121212121213]
[['pip fruit', 'bottled water'], 104, '->', ['napkins'], 515, 0.1346153846153846]
[['bottled water', 'whipped/sour cream'], 86, '->', ['pip fruit'], 744, 0.1511627906976744]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['bottled water'], 1087, 0.14285714285714285]
[['pip fruit', 'bottled water'], 104, '->', ['whipped/sour cream'], 705, 0.125]
[['bottled water', 'frozen vegetables'], 61, '->', ['pip fruit'], 744, 0.22950819672131148]
[['pip fruit', 'frozen vegetables'], 72, '->', ['bottled water'], 1087, 0.19444444444444445]
[['pip fruit', 'bottled water'], 104, '->', ['frozen vegetables'], 473, 0.1346153846153846]
[['pip fruit', 'chocolate'], 60, '->', ['soda'], 1715, 0.21666666666666667]
[['chocolate', 'fruit/vegetable juice'], 67, '->', ['pip fruit'], 744, 0.16417910447761194]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['chocolate'], 488, 0.11702127659574468]
[['pip fruit', 'chocolate'], 60, '->', ['fruit/vegetable juice'], 711, 0.18333333333333332]
[['chocolate', 'pastry'], 79, '->', ['pip fruit'], 744, 0.13924050632911392]
[['pip fruit', 'pastry'], 105, '->', ['chocolate'], 488, 0.10476190476190476]
[['pip fruit', 'chocolate'], 60, '->', ['pastry'], 875, 0.18333333333333332]
[['chocolate', 'root vegetables'], 63, '->', ['pip fruit'], 744, 0.23809523809523808]
[['pip fruit', 'chocolate'], 60, '->', ['root vegetables'], 1072, 0.25]
[['chocolate', 'sausage'], 65, '->', ['pip fruit'], 744, 0.18461538461538463]
[['pip fruit', 'sausage'], 106, '->', ['chocolate'], 488, 0.11320754716981132]
[['pip fruit', 'chocolate'], 60, '->', ['sausage'], 924, 0.2]
[['chocolate', 'shopping bags'], 80, '->', ['pip fruit'], 744, 0.15]
[['pip fruit', 'shopping bags'], 92, '->', ['chocolate'], 488, 0.13043478260869565]
[['pip fruit', 'chocolate'], 60, '->', ['shopping bags'], 969, 0.2]
[['chocolate', 'napkins'], 48, '->', ['pip fruit'], 744, 0.22916666666666666]
[['pip fruit', 'napkins'], 66, '->', ['chocolate'], 488, 0.16666666666666666]
[['pip fruit', 'chocolate'], 60, '->', ['napkins'], 515, 0.18333333333333332]
[['chocolate', 'whipped/sour cream'], 45, '->', ['pip fruit'], 744, 0.24444444444444444]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['chocolate'], 488, 0.12087912087912088]
[['pip fruit', 'chocolate'], 60, '->', ['whipped/sour cream'], 705, 0.18333333333333332]
[['curd', 'fruit/vegetable juice'], 48, '->', ['pip fruit'], 744, 0.25]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['curd'], 524, 0.1276595744680851]
[['pip fruit', 'curd'], 77, '->', ['fruit/vegetable juice'], 711, 0.15584415584415584]
[['curd', 'butter milk'], 32, '->', ['pip fruit'], 744, 0.34375]
[['pip fruit', 'butter milk'], 50, '->', ['curd'], 524, 0.22]
[['pip fruit', 'curd'], 77, '->', ['butter milk'], 275, 0.14285714285714285]
[['curd', 'pastry'], 74, '->', ['pip fruit'], 744, 0.20270270270270271]
[['pip fruit', 'pastry'], 105, '->', ['curd'], 524, 0.14285714285714285]
[['pip fruit', 'curd'], 77, '->', ['pastry'], 875, 0.19480519480519481]
[['curd', 'root vegetables'], 107, '->', ['pip fruit'], 744, 0.205607476635514]
[['pip fruit', 'root vegetables'], 153, '->', ['curd'], 524, 0.1437908496732026]
[['pip fruit', 'curd'], 77, '->', ['root vegetables'], 1072, 0.2857142857142857]
[['curd', 'sausage'], 75, '->', ['pip fruit'], 744, 0.24]
[['pip fruit', 'sausage'], 106, '->', ['curd'], 524, 0.16981132075471697]
[['pip fruit', 'curd'], 77, '->', ['sausage'], 924, 0.23376623376623376]
[['curd', 'hygiene articles'], 39, '->', ['pip fruit'], 744, 0.28205128205128205]
[['pip fruit', 'hygiene articles'], 47, '->', ['curd'], 524, 0.23404255319148937]
[['pip fruit', 'curd'], 77, '->', ['hygiene articles'], 324, 0.14285714285714285]
[['curd', 'napkins'], 47, '->', ['pip fruit'], 744, 0.23404255319148937]
[['pip fruit', 'napkins'], 66, '->', ['curd'], 524, 0.16666666666666666]
[['pip fruit', 'curd'], 77, '->', ['napkins'], 515, 0.14285714285714285]
[['curd', 'whipped/sour cream'], 103, '->', ['pip fruit'], 744, 0.21359223300970873]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['curd'], 524, 0.24175824175824176]
[['pip fruit', 'curd'], 77, '->', ['whipped/sour cream'], 705, 0.2857142857142857]
[['curd', 'dessert'], 51, '->', ['pip fruit'], 744, 0.23529411764705882]
[['pip fruit', 'dessert'], 49, '->', ['curd'], 524, 0.24489795918367346]
[['pip fruit', 'curd'], 77, '->', ['dessert'], 365, 0.15584415584415584]
[['beef', 'root vegetables'], 171, '->', ['pip fruit'], 744, 0.13450292397660818]
[['pip fruit', 'root vegetables'], 153, '->', ['beef'], 516, 0.1503267973856209]
[['pip fruit', 'beef'], 48, '->', ['root vegetables'], 1072, 0.4791666666666667]
[['frankfurter', 'soda'], 111, '->', ['pip fruit'], 744, 0.15315315315315314]
[['pip fruit', 'soda'], 131, '->', ['frankfurter'], 580, 0.1297709923664122]
[['pip fruit', 'frankfurter'], 71, '->', ['soda'], 1715, 0.23943661971830985]
[['frankfurter', 'fruit/vegetable juice'], 52, '->', ['pip fruit'], 744, 0.23076923076923078]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['frankfurter'], 580, 0.1276595744680851]
[['pip fruit', 'frankfurter'], 71, '->', ['fruit/vegetable juice'], 711, 0.16901408450704225]
[['frankfurter', 'pastry'], 82, '->', ['pip fruit'], 744, 0.15853658536585366]
[['pip fruit', 'pastry'], 105, '->', ['frankfurter'], 580, 0.12380952380952381]
[['pip fruit', 'frankfurter'], 71, '->', ['pastry'], 875, 0.18309859154929578]
[['frankfurter', 'root vegetables'], 100, '->', ['pip fruit'], 744, 0.16]
[['pip fruit', 'root vegetables'], 153, '->', ['frankfurter'], 580, 0.10457516339869281]
[['pip fruit', 'frankfurter'], 71, '->', ['root vegetables'], 1072, 0.22535211267605634]
[['frankfurter', 'sausage'], 99, '->', ['pip fruit'], 744, 0.1414141414141414]
[['pip fruit', 'sausage'], 106, '->', ['frankfurter'], 580, 0.1320754716981132]
[['pip fruit', 'frankfurter'], 71, '->', ['sausage'], 924, 0.19718309859154928]
[['frankfurter', 'brown bread'], 70, '->', ['pip fruit'], 744, 0.21428571428571427]
[['pip fruit', 'brown bread'], 75, '->', ['frankfurter'], 580, 0.2]
[['pip fruit', 'frankfurter'], 71, '->', ['brown bread'], 638, 0.2112676056338028]
[['frankfurter', 'shopping bags'], 81, '->', ['pip fruit'], 744, 0.14814814814814814]
[['pip fruit', 'shopping bags'], 92, '->', ['frankfurter'], 580, 0.13043478260869565]
[['pip fruit', 'frankfurter'], 71, '->', ['shopping bags'], 969, 0.16901408450704225]
[['frankfurter', 'pork'], 58, '->', ['pip fruit'], 744, 0.22413793103448276]
[['pip fruit', 'pork'], 60, '->', ['frankfurter'], 580, 0.21666666666666667]
[['pip fruit', 'frankfurter'], 71, '->', ['pork'], 567, 0.18309859154929578]
[['frankfurter', 'whipped/sour cream'], 61, '->', ['pip fruit'], 744, 0.19672131147540983]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['frankfurter'], 580, 0.13186813186813187]
[['pip fruit', 'frankfurter'], 71, '->', ['whipped/sour cream'], 705, 0.16901408450704225]
[['frankfurter', 'domestic eggs'], 69, '->', ['pip fruit'], 744, 0.2318840579710145]
[['pip fruit', 'domestic eggs'], 85, '->', ['frankfurter'], 580, 0.18823529411764706]
[['pip fruit', 'frankfurter'], 71, '->', ['domestic eggs'], 624, 0.22535211267605634]
[['frankfurter', 'frozen vegetables'], 50, '->', ['pip fruit'], 744, 0.26]
[['pip fruit', 'frozen vegetables'], 72, '->', ['frankfurter'], 580, 0.18055555555555555]
[['pip fruit', 'frankfurter'], 71, '->', ['frozen vegetables'], 473, 0.18309859154929578]
[['frankfurter', 'frozen meals'], 29, '->', ['pip fruit'], 744, 0.41379310344827586]
[['pip fruit', 'frozen meals'], 45, '->', ['frankfurter'], 580, 0.26666666666666666]
[['pip fruit', 'frankfurter'], 71, '->', ['frozen meals'], 279, 0.16901408450704225]
[['soda', 'chicken'], 82, '->', ['pip fruit'], 744, 0.17073170731707318]
[['pip fruit', 'chicken'], 47, '->', ['soda'], 1715, 0.2978723404255319]
[['pip fruit', 'soda'], 131, '->', ['chicken'], 422, 0.10687022900763359]
[['soda', 'sugar'], 72, '->', ['pip fruit'], 744, 0.1527777777777778]
[['pip fruit', 'sugar'], 47, '->', ['soda'], 1715, 0.23404255319148937]
[['soda', 'fruit/vegetable juice'], 181, '->', ['pip fruit'], 744, 0.13812154696132597]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['soda'], 1715, 0.26595744680851063]
[['pip fruit', 'soda'], 131, '->', ['fruit/vegetable juice'], 711, 0.19083969465648856]
[['pip fruit', 'newspapers'], 66, '->', ['soda'], 1715, 0.16666666666666666]
[['soda', 'pastry'], 207, '->', ['pip fruit'], 744, 0.1111111111111111]
[['pip fruit', 'pastry'], 105, '->', ['soda'], 1715, 0.21904761904761905]
[['pip fruit', 'soda'], 131, '->', ['pastry'], 875, 0.17557251908396945]
[['soda', 'root vegetables'], 183, '->', ['pip fruit'], 744, 0.15300546448087432]
[['pip fruit', 'root vegetables'], 153, '->', ['soda'], 1715, 0.1830065359477124]
[['pip fruit', 'soda'], 131, '->', ['root vegetables'], 1072, 0.21374045801526717]
[['soda', 'salty snack'], 92, '->', ['pip fruit'], 744, 0.13043478260869565]
[['pip fruit', 'salty snack'], 40, '->', ['soda'], 1715, 0.3]
[['soda', 'waffles'], 94, '->', ['pip fruit'], 744, 0.1595744680851064]
[['pip fruit', 'waffles'], 44, '->', ['soda'], 1715, 0.3409090909090909]
[['pip fruit', 'soda'], 131, '->', ['waffles'], 378, 0.11450381679389313]
[['pip fruit', 'canned beer'], 32, '->', ['soda'], 1715, 0.375]
[['soda', 'sausage'], 239, '->', ['pip fruit'], 744, 0.12133891213389121]
[['pip fruit', 'sausage'], 106, '->', ['soda'], 1715, 0.27358490566037735]
[['pip fruit', 'soda'], 131, '->', ['sausage'], 924, 0.22137404580152673]
[['soda', 'brown bread'], 124, '->', ['pip fruit'], 744, 0.14516129032258066]
[['pip fruit', 'brown bread'], 75, '->', ['soda'], 1715, 0.24]
[['pip fruit', 'soda'], 131, '->', ['brown bread'], 638, 0.13740458015267176]
[['pip fruit', 'shopping bags'], 92, '->', ['soda'], 1715, 0.21739130434782608]
[['pip fruit', 'soda'], 131, '->', ['shopping bags'], 969, 0.15267175572519084]
[['soda', 'napkins'], 118, '->', ['pip fruit'], 744, 0.1271186440677966]
[['pip fruit', 'napkins'], 66, '->', ['soda'], 1715, 0.22727272727272727]
[['pip fruit', 'soda'], 131, '->', ['napkins'], 515, 0.11450381679389313]
[['soda', 'pork'], 117, '->', ['pip fruit'], 744, 0.1111111111111111]
[['pip fruit', 'pork'], 60, '->', ['soda'], 1715, 0.21666666666666667]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['soda'], 1715, 0.12087912087912088]
[['soda', 'dessert'], 97, '->', ['pip fruit'], 744, 0.1134020618556701]
[['pip fruit', 'dessert'], 49, '->', ['soda'], 1715, 0.22448979591836735]
[['soda', 'domestic eggs'], 122, '->', ['pip fruit'], 744, 0.11475409836065574]
[['pip fruit', 'domestic eggs'], 85, '->', ['soda'], 1715, 0.16470588235294117]
[['pip fruit', 'soda'], 131, '->', ['domestic eggs'], 624, 0.10687022900763359]
[['soda', 'frozen vegetables'], 85, '->', ['pip fruit'], 744, 0.17647058823529413]
[['pip fruit', 'frozen vegetables'], 72, '->', ['soda'], 1715, 0.20833333333333334]
[['pip fruit', 'soda'], 131, '->', ['frozen vegetables'], 473, 0.11450381679389313]
[['soda', 'frozen meals'], 61, '->', ['pip fruit'], 744, 0.22950819672131148]
[['pip fruit', 'frozen meals'], 45, '->', ['soda'], 1715, 0.3111111111111111]
[['pip fruit', 'soda'], 131, '->', ['frozen meals'], 279, 0.10687022900763359]
[['chicken', 'root vegetables'], 107, '->', ['pip fruit'], 744, 0.14953271028037382]
[['pip fruit', 'root vegetables'], 153, '->', ['chicken'], 422, 0.10457516339869281]
[['pip fruit', 'chicken'], 47, '->', ['root vegetables'], 1072, 0.3404255319148936]
[['chicken', 'whipped/sour cream'], 71, '->', ['pip fruit'], 744, 0.2112676056338028]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['chicken'], 422, 0.16483516483516483]
[['pip fruit', 'chicken'], 47, '->', ['whipped/sour cream'], 705, 0.3191489361702128]
[['chicken', 'domestic eggs'], 61, '->', ['pip fruit'], 744, 0.19672131147540983]
[['pip fruit', 'domestic eggs'], 85, '->', ['chicken'], 422, 0.1411764705882353]
[['pip fruit', 'chicken'], 47, '->', ['domestic eggs'], 624, 0.2553191489361702]
[['chicken', 'frozen vegetables'], 66, '->', ['pip fruit'], 744, 0.16666666666666666]
[['pip fruit', 'frozen vegetables'], 72, '->', ['chicken'], 422, 0.1527777777777778]
[['pip fruit', 'chicken'], 47, '->', ['frozen vegetables'], 473, 0.23404255319148937]
[['sugar', 'root vegetables'], 63, '->', ['pip fruit'], 744, 0.20634920634920634]
[['pip fruit', 'sugar'], 47, '->', ['root vegetables'], 1072, 0.2765957446808511]
[['fruit/vegetable juice', 'butter milk'], 46, '->', ['pip fruit'], 744, 0.2391304347826087]
[['pip fruit', 'butter milk'], 50, '->', ['fruit/vegetable juice'], 711, 0.22]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['butter milk'], 275, 0.11702127659574468]
[['fruit/vegetable juice', 'pastry'], 84, '->', ['pip fruit'], 744, 0.20238095238095238]
[['pip fruit', 'pastry'], 105, '->', ['fruit/vegetable juice'], 711, 0.1619047619047619]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['pastry'], 875, 0.18085106382978725]
[['fruit/vegetable juice', 'root vegetables'], 118, '->', ['pip fruit'], 744, 0.22033898305084745]
[['pip fruit', 'root vegetables'], 153, '->', ['fruit/vegetable juice'], 711, 0.16993464052287582]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['root vegetables'], 1072, 0.2765957446808511]
[['fruit/vegetable juice', 'salty snack'], 59, '->', ['pip fruit'], 744, 0.23728813559322035]
[['pip fruit', 'salty snack'], 40, '->', ['fruit/vegetable juice'], 711, 0.35]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['salty snack'], 372, 0.14893617021276595]
[['fruit/vegetable juice', 'sausage'], 99, '->', ['pip fruit'], 744, 0.1717171717171717]
[['pip fruit', 'sausage'], 106, '->', ['fruit/vegetable juice'], 711, 0.16037735849056603]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['sausage'], 924, 0.18085106382978725]
[['fruit/vegetable juice', 'brown bread'], 82, '->', ['pip fruit'], 744, 0.21951219512195122]
[['pip fruit', 'brown bread'], 75, '->', ['fruit/vegetable juice'], 711, 0.24]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['brown bread'], 638, 0.19148936170212766]
[['fruit/vegetable juice', 'shopping bags'], 105, '->', ['pip fruit'], 744, 0.13333333333333333]
[['pip fruit', 'shopping bags'], 92, '->', ['fruit/vegetable juice'], 711, 0.15217391304347827]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['shopping bags'], 969, 0.14893617021276595]
[['fruit/vegetable juice', 'hygiene articles'], 38, '->', ['pip fruit'], 744, 0.3157894736842105]
[['pip fruit', 'hygiene articles'], 47, '->', ['fruit/vegetable juice'], 711, 0.2553191489361702]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['hygiene articles'], 324, 0.1276595744680851]
[['fruit/vegetable juice', 'napkins'], 68, '->', ['pip fruit'], 744, 0.17647058823529413]
[['pip fruit', 'napkins'], 66, '->', ['fruit/vegetable juice'], 711, 0.18181818181818182]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['napkins'], 515, 0.1276595744680851]
[['fruit/vegetable juice', 'whipped/sour cream'], 89, '->', ['pip fruit'], 744, 0.20224719101123595]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['fruit/vegetable juice'], 711, 0.1978021978021978]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['whipped/sour cream'], 705, 0.19148936170212766]
[['fruit/vegetable juice', 'domestic eggs'], 79, '->', ['pip fruit'], 744, 0.22784810126582278]
[['pip fruit', 'domestic eggs'], 85, '->', ['fruit/vegetable juice'], 711, 0.21176470588235294]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['domestic eggs'], 624, 0.19148936170212766]
[['fruit/vegetable juice', 'frozen vegetables'], 77, '->', ['pip fruit'], 744, 0.24675324675324675]
[['pip fruit', 'frozen vegetables'], 72, '->', ['fruit/vegetable juice'], 711, 0.2638888888888889]
[['pip fruit', 'fruit/vegetable juice'], 94, '->', ['frozen vegetables'], 473, 0.20212765957446807]
[['newspapers', 'root vegetables'], 113, '->', ['pip fruit'], 744, 0.1415929203539823]
[['pip fruit', 'root vegetables'], 153, '->', ['newspapers'], 785, 0.10457516339869281]
[['pip fruit', 'newspapers'], 66, '->', ['root vegetables'], 1072, 0.24242424242424243]
[['newspapers', 'brown bread'], 75, '->', ['pip fruit'], 744, 0.14666666666666667]
[['pip fruit', 'brown bread'], 75, '->', ['newspapers'], 785, 0.14666666666666667]
[['pip fruit', 'newspapers'], 66, '->', ['brown bread'], 638, 0.16666666666666666]
[['butter milk', 'root vegetables'], 50, '->', ['pip fruit'], 744, 0.28]
[['pip fruit', 'butter milk'], 50, '->', ['root vegetables'], 1072, 0.28]
[['butter milk', 'dessert'], 28, '->', ['pip fruit'], 744, 0.5]
[['pip fruit', 'dessert'], 49, '->', ['butter milk'], 275, 0.2857142857142857]
[['pip fruit', 'butter milk'], 50, '->', ['dessert'], 365, 0.28]
[['pastry', 'root vegetables'], 108, '->', ['pip fruit'], 744, 0.2222222222222222]
[['pip fruit', 'root vegetables'], 153, '->', ['pastry'], 875, 0.1568627450980392]
[['pip fruit', 'pastry'], 105, '->', ['root vegetables'], 1072, 0.22857142857142856]
[['pastry', 'salty snack'], 51, '->', ['pip fruit'], 744, 0.2549019607843137]
[['pip fruit', 'salty snack'], 40, '->', ['pastry'], 875, 0.325]
[['pip fruit', 'pastry'], 105, '->', ['salty snack'], 372, 0.12380952380952381]
[['pastry', 'waffles'], 69, '->', ['pip fruit'], 744, 0.17391304347826086]
[['pip fruit', 'waffles'], 44, '->', ['pastry'], 875, 0.2727272727272727]
[['pip fruit', 'pastry'], 105, '->', ['waffles'], 378, 0.11428571428571428]
[['pastry', 'sausage'], 123, '->', ['pip fruit'], 744, 0.2032520325203252]
[['pip fruit', 'sausage'], 106, '->', ['pastry'], 875, 0.2358490566037736]
[['pip fruit', 'pastry'], 105, '->', ['sausage'], 924, 0.23809523809523808]
[['pastry', 'brown bread'], 95, '->', ['pip fruit'], 744, 0.1368421052631579]
[['pip fruit', 'brown bread'], 75, '->', ['pastry'], 875, 0.17333333333333334]
[['pip fruit', 'pastry'], 105, '->', ['brown bread'], 638, 0.12380952380952381]
[['pastry', 'shopping bags'], 117, '->', ['pip fruit'], 744, 0.11965811965811966]
[['pip fruit', 'shopping bags'], 92, '->', ['pastry'], 875, 0.15217391304347827]
[['pip fruit', 'pastry'], 105, '->', ['shopping bags'], 969, 0.13333333333333333]
[['pastry', 'hygiene articles'], 45, '->', ['pip fruit'], 744, 0.24444444444444444]
[['pip fruit', 'hygiene articles'], 47, '->', ['pastry'], 875, 0.23404255319148937]
[['pip fruit', 'pastry'], 105, '->', ['hygiene articles'], 324, 0.10476190476190476]
[['pastry', 'napkins'], 69, '->', ['pip fruit'], 744, 0.2028985507246377]
[['pip fruit', 'napkins'], 66, '->', ['pastry'], 875, 0.21212121212121213]
[['pip fruit', 'pastry'], 105, '->', ['napkins'], 515, 0.13333333333333333]
[['pastry', 'whipped/sour cream'], 74, '->', ['pip fruit'], 744, 0.17567567567567569]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['pastry'], 875, 0.14285714285714285]
[['pip fruit', 'pastry'], 105, '->', ['whipped/sour cream'], 705, 0.12380952380952381]
[['pastry', 'domestic eggs'], 89, '->', ['pip fruit'], 744, 0.14606741573033707]
[['pip fruit', 'domestic eggs'], 85, '->', ['pastry'], 875, 0.15294117647058825]
[['pip fruit', 'pastry'], 105, '->', ['domestic eggs'], 624, 0.12380952380952381]
[['pastry', 'frozen vegetables'], 47, '->', ['pip fruit'], 744, 0.2978723404255319]
[['pip fruit', 'frozen vegetables'], 72, '->', ['pastry'], 875, 0.19444444444444445]
[['pip fruit', 'pastry'], 105, '->', ['frozen vegetables'], 473, 0.13333333333333333]
[['root vegetables', 'waffles'], 65, '->', ['pip fruit'], 744, 0.16923076923076924]
[['pip fruit', 'waffles'], 44, '->', ['root vegetables'], 1072, 0.25]
[['root vegetables', 'sausage'], 147, '->', ['pip fruit'], 744, 0.17006802721088435]
[['pip fruit', 'sausage'], 106, '->', ['root vegetables'], 1072, 0.2358490566037736]
[['pip fruit', 'root vegetables'], 153, '->', ['sausage'], 924, 0.16339869281045752]
[['root vegetables', 'brown bread'], 100, '->', ['pip fruit'], 744, 0.16]
[['pip fruit', 'brown bread'], 75, '->', ['root vegetables'], 1072, 0.21333333333333335]
[['pip fruit', 'root vegetables'], 153, '->', ['brown bread'], 638, 0.10457516339869281]
[['root vegetables', 'shopping bags'], 126, '->', ['pip fruit'], 744, 0.1984126984126984]
[['pip fruit', 'shopping bags'], 92, '->', ['root vegetables'], 1072, 0.2717391304347826]
[['pip fruit', 'root vegetables'], 153, '->', ['shopping bags'], 969, 0.16339869281045752]
[['root vegetables', 'hamburger meat'], 61, '->', ['pip fruit'], 744, 0.21311475409836064]
[['pip fruit', 'hamburger meat'], 44, '->', ['root vegetables'], 1072, 0.29545454545454547]
[['root vegetables', 'napkins'], 98, '->', ['pip fruit'], 744, 0.14285714285714285]
[['pip fruit', 'napkins'], 66, '->', ['root vegetables'], 1072, 0.21212121212121213]
[['root vegetables', 'pork'], 134, '->', ['pip fruit'], 744, 0.13432835820895522]
[['pip fruit', 'pork'], 60, '->', ['root vegetables'], 1072, 0.3]
[['pip fruit', 'root vegetables'], 153, '->', ['pork'], 567, 0.11764705882352941]
[['root vegetables', 'whipped/sour cream'], 168, '->', ['pip fruit'], 744, 0.17857142857142858]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['root vegetables'], 1072, 0.32967032967032966]
[['pip fruit', 'root vegetables'], 153, '->', ['whipped/sour cream'], 705, 0.19607843137254902]
[['root vegetables', 'grapes'], 44, '->', ['pip fruit'], 744, 0.25]
[['pip fruit', 'grapes'], 37, '->', ['root vegetables'], 1072, 0.2972972972972973]
[['root vegetables', 'dessert'], 57, '->', ['pip fruit'], 744, 0.2631578947368421]
[['pip fruit', 'dessert'], 49, '->', ['root vegetables'], 1072, 0.30612244897959184]
[['root vegetables', 'domestic eggs'], 141, '->', ['pip fruit'], 744, 0.18439716312056736]
[['pip fruit', 'domestic eggs'], 85, '->', ['root vegetables'], 1072, 0.3058823529411765]
[['pip fruit', 'root vegetables'], 153, '->', ['domestic eggs'], 624, 0.16993464052287582]
[['root vegetables', 'cat food'], 46, '->', ['pip fruit'], 744, 0.2391304347826087]
[['pip fruit', 'cat food'], 24, '->', ['root vegetables'], 1072, 0.4583333333333333]
[['root vegetables', 'frozen vegetables'], 114, '->', ['pip fruit'], 744, 0.18421052631578946]
[['pip fruit', 'frozen vegetables'], 72, '->', ['root vegetables'], 1072, 0.2916666666666667]
[['pip fruit', 'root vegetables'], 153, '->', ['frozen vegetables'], 473, 0.13725490196078433]
[['root vegetables', 'onions'], 93, '->', ['pip fruit'], 744, 0.13978494623655913]
[['pip fruit', 'onions'], 34, '->', ['root vegetables'], 1072, 0.38235294117647056]
[['root vegetables', 'herbs'], 69, '->', ['pip fruit'], 744, 0.2028985507246377]
[['pip fruit', 'herbs'], 24, '->', ['root vegetables'], 1072, 0.5833333333333334]
[['root vegetables', 'sliced cheese'], 55, '->', ['pip fruit'], 744, 0.2]
[['pip fruit', 'sliced cheese'], 41, '->', ['root vegetables'], 1072, 0.2682926829268293]
[['salty snack', 'shopping bags'], 59, '->', ['pip fruit'], 744, 0.1864406779661017]
[['pip fruit', 'shopping bags'], 92, '->', ['salty snack'], 372, 0.11956521739130435]
[['pip fruit', 'salty snack'], 40, '->', ['shopping bags'], 969, 0.275]
[['salty snack', 'whipped/sour cream'], 51, '->', ['pip fruit'], 744, 0.2549019607843137]
[['pip fruit', 'whipped/sour cream'], 91, '->', ['salty snack'], 372, 0.14285714285714285]
[['pip fruit', 'salty snack'], 40, '->', ['whipped/sour cream'], 705, 0.325]
